idx,Longitude,Latitude,label,note,date,desc
1,38.80938541,8.846260567,Rainfed-SC-tef-LS,,8/9/2014,GT_LULC_8-16Aug2014_class_labeling
2,38.85896513,8.824830505,Rainfed-SC-tef-LS,,8/9/2014,
300,38.86275012,8.818681511,Rainfed-SC-tef-LS,,8/9/2014,
4,38.88312058,8.821711526,Rainf1010ed-SC-tef-VVLS,"Tef-80, gr-10",8/9/2014,
5,38.9011753,8.794061849,Settlements,,8/9/2014,
6,38.92074612,8.78317644,Rainfed-SC-tef-VLS,"T-75, G-10",8/9/2014,
7,38.9853499,8.749392015,Settlements,,8/9/2014,
8,39.01129285,8.727560776,Rainfed-SC-tef-LS,,8/9/2014,
8,39.03555824,8.697173515,Rainfed-SC-maize-VLS,"M-80, S-10, G-10",8/9/2014,
9,39.04769759,8.665944076,Rainfed-SC-tef-VVLS,"T-90,",8/9/2014,
10,39.07850128,8.652073134,Shrublands/hills,,8/9/2014,
11,39.09180883,8.634721199,Rainfed-SC-tef-VVLS,,8/9/2014,
12,39.11030053,8.604188405,Shrublands/trees/grasses,,8/9/2014,
13,39.08645314,8.542480146,Rainfed-SC-tef-LS,,8/9/2014,
14,39.08019816,8.526042254,Rainfed-SC-tef/beans-VLS,"T-70, SB-30",8/9/2014,
15,39.0695076,8.50687746,Rainfed-SC-tef-VVLS,,8/9/2014,
16,39.04428279,8.451714314,Rainfed-SC-tef-LS,,8/9/2014,
500,39.02669818,8.419749193,Rainfed-DC-maize/maize-LS,,8/9/2014,
17,39.01739796,8.39500588,Rainfed-SC-tef-LS,"MS, Sh-20",8/9/2014,
18,38.9983119,8.36104146,Rainfed-SC-onion/tef-LS,,8/9/2014,
19,38.91328717,8.271169896,Rainfed-SC-maize/tef-LS,,8/9/2014,
19,38.89750893,8.250842109,Rainfed-DC-tef/maize-maize-LS,,8/9/2014,
21,38.87458711,8.220825727,Rainfed-SC-tef-VVLS,,8/9/2014,
21,38.85714767,8.18850951,Rainfed-DC-maize-maize-LS,,8/9/2014,
22,38.80849586,8.133094934,Rainfed-SC-maize-Maize-VLS,,8/9/2014,
23,38.76136358,8.079733718,Rainfed-SC-maize-maize-VLS,,8/9/2014,
24,38.72406579,8.012923795,Rainfed-DC-maize-maize-LS,"M-75,T-15-G-5",8/9/2014,
25,38.720515,7.960839143,Irrigated-conju-DC-vegetables-watrermelon-LS,,8/9/2014,
25,38.71804357,7.899050287,Irrigated-Conj-DC-flowers-VLS,,8/9/2014,
500,38.71907941,7.887397116,Irrigated-DC-vegetables-LS,,8/9/2014,
26,38.74497535,7.832238772,Shrubladns/hills,,8/9/2014,
27,38.68904012,7.835864203,Rainfed-DC-maize-maize-LS,,8/9/2014,
500,38.68199773,7.810126041,Rainfed-SC-maize-VLS,,8/9/2014,
29,38.64988677,7.762218558,Rainfed-SC-maize-VVLS,,8/9/2014,
30,38.65583594,7.699291404,Rainfed-DC-maize-maize-VLS,,8/9/2014,
31,38.67339513,7.654460389,Rangelands/shrublands-VLS,,8/9/2014,
32,38.67433653,7.6045485,Rainfed-DC-maize-maize-LS,"M-65, T-20, S-15",8/9/2014,
33,38.6671934,7.529265024,shrublands/grasslands,,8/9/2014,
33,38.6764788,7.498249632,Rainfed-SC-teff-VVLS,,8/9/2014,
34,38.67729897,7.469603523,Rainfed-SC-tef-LS,,8/9/2014,
36,38.67284002,7.41834885,Rainfed-DC-rtef/maize-maize-VLS,,8/9/2014,
36,38.67319425,7.384676393,Rainfed-DC-tef/maize-maize-VLS,,8/9/2014,
37,38.64670528,7.292348164,Rainfed-SC-tef-LS,,8/9/2014,
39,38.63855695,7.239417191,Rainfed-SC-maize/tef-LS,,8/9/2014,
39,38.6344552,7.191362062,Rainfed-SC-tef-VVLS,,8/9/2014,
40,38.6718893,7.174404528,Plantations-Trees,,8/9/2014,
41,38.70375025,7.15214827,Rainfed-SC-maize/banana-MS,MS,8/9/2014,
42,38.74781058,7.104356164,Rainfed-DC-maize/vegetables/banana-LS,,8/9/2014,
44,38.79987254,7.064299169,Rainfed-DC-maize.banana-MS,,8/9/2014,
45,38.80351134,7.056400302,plantions-trees,,8/9/2014,
46,38.8502089,7.037093693,Rainfed-SC-maize/wheat/barly-LS,June-Dec (barly)june-Nov(maize),8/9/2014,
47,38.90382557,7.027975883,Rangelands-VLS,,8/9/2014,
47,38.93062846,7.032058444,Rainfed-SC-maize/barly/wheat-LS,,8/9/2014,
48,38.95020587,7.037325968,Rainfed-SC-barly-VVLS,VVLS,8/9/2014,
500,38.95916976,7.029693354,Rainfed-SC-Maize/barly-VVLS,,8/9/2014,
500,38.97745253,7.027918328,Rainfed-SC-maize-VLS,,8/9/2014,
500,39.00088288,7.025610794,Rainfed-SC-barly-VLS,,8/9/2014,
49,39.01413227,7.004723122,Rainfed-SC-barly-VVLS,,8/9/2014,
50,39.05622661,7.005107128,Rainfed-SC-wheat/maize/barly-VLS,VVLS,8/9/2014,
51,39.09736449,7.00099334,Rainfed-SC-barly/wheat-VVLS,,8/9/2014,
52,39.13575984,7.005518507,Rainfed-SC-barly/wheat-VVLS,,8/9/2014,
53,39.15340988,7.017388428,Rainfed-SC-barly/wheat-VVLS,VVLS,8/9/2014,
54,39.17755821,7.070807456,Rainfed-SC-wheat/barly-VLS,,8/9/2014,
56,39.20608597,7.122733041,Rainfed-SC-wheat/barly-VVLS,B/W-100%,8/9/2014,
57,39.26943961,7.297969933,Rainfed-SC-wheat/barly-0LS,,8/9/2014,
58,39.25683257,7.358422419,same as previous,,8/9/2014,
61,39.14798628,7.99670689,Rainfed-SC-wheat-VLS,"Jun-Nov, Jan-Apr",8/10/2014,
62,39.18027027,8.030951668,Rainfed-DC-whea/barly10t-beans-VVLS,,8/10/2014,
64,39.21313435,8.060309176,Rainfed-DC-Sorghum-wheat/barly-VLS,Sorghum (Mar-jun),8/10/2014,
65,39.22368586,8.118521732,Rainfed-DC-sorghum/maize-wheat-VVLS,wh-100,8/10/2014,
66,39.23282643,8.133417563,Sttlements/shrubs/trees,,8/10/2014,
66,39.24529723,8.174888446,Rainfed-SC-wheat-VVLS,"W-100,(Jul-Nov)",8/10/2014,
66,39.25587505,8.217456183,Rainfed-SC-wheat-VLS,,8/10/2014,
67,39.28518541,8.255191929,Rainfed-SC-wheat-VVLS,Heavy soils(BC),8/10/2014,
68,39.30746579,8.289099444,Rainfed-SC-wheat-VVLS,,8/10/2014,
69,39.33210203,8.337581266,Shrubladns/hills,,8/10/2014,
70,39.28131632,8.387741117,Irrigated-SC-sugarcane-VLS,,8/10/2014,
500,39.31864234,8.434528034,Irrigated-SC-sugarcane-VLS,,8/10/2014,
73,39.29611406,8.484339183,Rainfed-SC-maize-VLS,,8/10/2014,
74,39.27560926,8.536937843,Settlements/trees,,8/10/2014,
75,39.31429275,8.554738278,Rainfed-SC-tef/beans-LS,,8/10/2014,
500,39.34733948,8.584668918,Rainfed-SC-beans/tef-VLS,,8/10/2014,
500,39.35237114,8.591841708,Rainged-SC-maize/beans-VLS,,8/10/2014,
78,39.38569474,8.616523149,Irrigated-SC-sugarcane-VLS,,8/10/2014,
79,39.41581707,8.65142846,Rainfed-SC-maize/tef-VLS,,8/10/2014,
80,39.43919363,8.679137859,Rainfed-SC-beans/tef-VLS,,8/10/2014,
500,39.49159522,8.675107324,Shrublands/forests,,8/10/2014,
83,39.5080749,8.688174057,Shrublands/fforests,,8/10/2014,
84,39.55420447,8.720887509,Rainfed-SC-maize/tef-LS,,8/10/2014,
85,39.68538892,8.811978899,Rangleands/hills,,8/10/2014,
500,39.71803245,8.834896713,Valcanic crater,,8/10/2014,
89,39.7668632,8.871048381,Rainfed-SC-maize-MS,Surrounded by shrublands,8/10/2014,
89,39.83210254,8.91661098,Rainfed-SC-beans/tef-MS,,8/10/2014,
90,39.88667445,8.916336411,WaSTELANDS/VACANO,,8/10/2014,
91,39.97895753,8.909860413,Shrublands/rangel;andss,,8/10/2014,
92,39.96588525,8.872565965,Irrigated-SC-sugarcane-VLS,,8/10/2014,
92,40.06448089,8.927457276,Rangelands/shrubs(10%)-VVLS,,8/10/2014,
93,40.1170076,8.955731223,Shrublands/rangelands,,8/10/2014,
94,40.20454846,9.021742174,Shrublands/rangelands,,8/12/2014,
95,40.26198532,9.010845075,Shrublands/wastelands,,8/10/2014,
94,40.41431062,9.043489105,Shrublands/trees,,8/10/2014,
96,40.48280533,9.131447383,Rainfed-SC-maize-LS,,8/10/2014,
98,40.58414614,9.1770143,Rainfed-SC-sorghum/maize-VLS,,8/10/2014,
100,40.68694073,9.205653999,Rainfed-SC-sorghum-VVLS,,8/10/2014,
101,40.77000031,9.216218227,Rainfed-SC-sorghum/maize-LS,LS,8/10/2014,
500,40.78109787,9.190416386,Rainfed-SC-sorghum-LS,,8/10/2014,
103,40.81286061,9.133819344,Rainfed-SC-sorghum-LS,,8/10/2014,
104,40.84181234,9.118264391,Rainfed-SC-sorghum-MS,,8/10/2014,
105,40.85126871,9.116937182,Raifed-SC-sorghum/kchat-LS,,8/10/2014,
500,40.88629419,9.058956674,Rainfed-SC-maize-MS,,8/10/2014,
500,40.9253772,9.075730027,Rainfed-SC-maize-LS,,8/10/2014,
108,40.96273337,9.116625036,Rainfed-SC-maize-VLS,,8/10/2014,
108,41.02834005,9.159332259,Rainfed-SC_maize-LS,,8/10/2014,
109,41.07000168,9.171027778,Rainfed-SC_maize-LS,,8/10/2014,
110,41.11898608,9.234970358,Rainfed-SC_maize-LS,LS,8/10/2014,
112,41.21969688,9.287624477,Rainfed-SC_maize-LS,,8/10/2014,
113,41.24564606,9.307106938,Forestsd=agriculture,,8/10/2014,
