idx,Latitude ,longitude,label,date,rainfed,tree,shrub,grass,barren,rock,water,builtup,cropland,other,cassava-yam,cocoa,vegetables-fruits,sorghum-Maize,groundnut,rice,barren,plantation,othercrop,desc
1,9.40675,-0.904194,Rainfed-LS-SC-Maize,6/13/2008,1,2,0,0,0,0,0,0,98,0,0,0,0,50,0,50,0,0,0,"Ground Truth Data for Irrigated Area Mapping of Ghana, 2008"
2,9.404556,-0.903361,Rainfed-LS-SC-Raice,6/13/2008,1,0,0.5,0.5,0,0,4,0,95,0,0,0,0,0,0,100,0,0,0,
3,9.404833,-0.921694,Rainfed-Cassava-Maize,6/13/2008,1,2,0,0,0,0,0,2,96,0,40,0,0,60,0,0,0,0,0,
4,9.405306,-0.967528,Rainfed-LS-SC-Rice,6/13/2008,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,
5,9.406583,-0.966972,Rainfed-LS-SC-Rice,6/13/2008,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,
6,9.401333,-0.947389,Rainfed-LS-SC-G.corn,6/13/2008,1,20,0,0,0,0,0,0,80,0,0,0,0,100,0,0,0,0,0,
7,9.393778,-0.950028,Rainfed-LS-SC-Groundnut,6/13/2008,1,5,0,0,0,0,0,0,95,0,0,0,0,0,100,0,0,0,0,
8,9.390528,-0.949833,"Shrublands, grasses,barren,LS",6/13/2008,1,0,60,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,9.379222,-0.951361,"Rangelands,grasses,barren,LS",6/13/2008,0,0,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,9.369306,-0.952944,Rainfed-MS-SC-Cassava,6/13/2008,1,1,0,0,0,0,0,0,99,0,100,0,0,0,0,0,0,0,0,
11,9.357167,-0.956361,Irrigated-LS-DC-Rice,6/13/2008,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,
12,9.35625,-0.951528,Irrigated-LS-DC-Rice,6/13/2008,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,
13,9.352722,-0.944194,"Rangelands,grasses,shrubs,LS",6/13/2008,0,0,30,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,9.349361,-0.935222,Rainfed-MS-SC-Cassava,6/13/2008,1,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,
15,,,,6/13/2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,9.349056,-0.929389,Rainfed-LS-SC-Rice,6/13/2008,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,
17,9.347833,-0.929556,Rainfed-MS-SC-Maize,6/13/2008,1,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,
18,9.347889,-0.928528,Rainfed-SS-SC-Groundnut,6/13/2008,1,0,0,40,0,0,0,0,60,0,0,0,0,0,100,0,0,0,0,
19,9.368194,-0.881028,Rainfed-LS-SC-Groundnut,6/14/2008,1,5,0,0,0,0,0,0,95,0,0,0,0,0,100,0,0,0,0,
20,9.366222,-0.879917,Rainfed-MS-Rice,6/14/2008,1,1,0,0,0,0,0,0,99,0,0,0,0,0,0,100,0,0,0,
21,9.378056,-0.889833,"Rainfed-LS-SC-Maize,Rice",6/14/2008,1,1,0,5,0,0,0,0,94,0,0,0,0,80,0,20,0,0,0,
22,9.356972,-0.898306,Rainfed-LS-SC-Maize,6/14/2008,1,0.5,0,0,0,0,0,0,99.5,0,0,0,0,80,0,20,0,0,0,
23,9.357472,-0.900167,"Rainfed-MS-SC-Rice,maize",6/14/2008,1,1,0,1,0,0,0,0,98,0,0,0,0,20,0,80,0,0,0,
24,9.3345,-0.919611,Rangelands-SS-grasses,6/14/2008,1,10,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,9.33525,-0.919583,Rainfed-MS-SC-Rice,6/14/2008,1,0.1,0,0,0,0,0,0,99.9,0,0,0,0,0,0,100,0,0,0,
26,9.336806,-0.920583,Rainfed-LS-SC-Maize,6/14/2008,1,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,
27,9.330083,-0.928472,Rainfed-LS-SC-Maize,6/14/2008,1,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,
28,9.328611,-0.931667,Rainfed-LS-SC-Rice,6/14/2008,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,
29,9.327028,-0.926556,Rangelands-SS-grasses,6/14/2008,1,0,0,95,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,9.325611,-0.925806,Rainfed-MS-SC-Rice,6/14/2008,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,
31,9.331361,-0.928056,"Rainfed-LS-SC-Vegetable,Maize",6/14/2008,1,10,2,8,0,0,20,0,60,0,0,0,60,40,0,0,0,0,0,
32,9.332139,-0.927472,Rainfed-MS-SC-Rice,6/14/2008,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,
33,9.314556,-0.944222,"Shrublands,Grasses,barren,LS",6/14/2008,1,0,50,45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,9.300833,-0.935833,Rainfed-LS-SC-Groundnut,6/14/2008,1,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,
35,9.300417,-0.937028,Rainfed-MS-SC-Cassava,6/14/2008,1,1,0,0,0,0,0,0,99,0,100,0,0,0,0,0,0,0,0,
36,9.310889,-0.943389,"Shrublands,Grasses,barren,LS",6/14/2008,1,5,50,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,9.298139,-0.965,Rainfed-SS-SC-Maize,6/14/2008,1,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,
38,9.299333,-0.965167,"Shrublands,Trees,grasses,LS",6/14/2008,1,20,70,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,9.298417,-0.963806,"Rangelands,SS,Grasses",6/14/2008,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,9.294833,-0.981417,"Shrublands,Grasses,barren,LS",6/14/2008,0,10,50,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,9.301139,-0.977278,Rainfed-LS-SC-Groundnut,6/15/2008,1,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,
42,9.3125,-0.982833,Rainfed-LS-SC-Groundnut,6/15/2008,1,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,
43,9.325917,-0.980056,Rainfed-LS-SC-Groundnut,6/15/2008,1,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,
44,9.3125,-0.960556,"Shrublands,Grasses,LS",6/15/2008,0,2,60,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,9.319361,-0.95775,Rainfed-LS-SC-Yam,6/15/2008,1,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,
46,9.321667,-0.957639,Rainfed-LS-SC-Rice,6/15/2008,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,
47,9.332056,-0.936556,Rainfed-MS-SC-Maize,6/15/2008,1,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,
48,9.336278,-0.943028,Rainfed-MS-SC-Rice,6/15/2008,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,
49,9.337944,-0.942306,Rainfed-MS-SC-Cassava,6/15/2008,1,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,
50,9.342278,-0.949778,Rainfed-MS-SC-Cassaa,6/15/2008,1,1,0,0,0,0,0,0,99,0,100,0,0,0,0,0,0,0,0,
