idx,Latitude ,longitude,dryseason,rainyseason,Dug wells,Date,desc
1,10.830694,-0.989139,"Irrigated,dryseason, dugout in river bed, vegetabl","rainfed season crops:millet, guinee corn",NA,6/4/2008,Ghana_SGI_GT_04Jun08to15Jun08c
2,10.831500,-0.988167,"Irrigated,dryseason, shallow GW, vegetables,SS,DC","rainfed season crops:millet, guinee corn",5,6/4/2008,
3,10.832167,-0.987278,"Irrigated,dryseason, dugout in river bed, vegetabl","rainfed season crops:millet, guinee corn",NA,6/4/2008,
4,10.832833,-0.987306,"Irrigated,dryseason, shallow GW, vegetables,SS,DC",Rainyseason-guinea corn,6,6/4/2008,
5,10.832944,-0.987472,"Irrigated,dryseason, shallow GW, vegetables,SS,DC",Rainyseason-guinea corn,6,6/4/2008,
6,10.832750,-0.987417,"Irrigated,dryseason, shallow GW, vegetables,SS,DC",Rainyseason-guinea corn,NA,6/4/2008,
7,10.831472,-0.987639,"Irrigated,dryseason, shallow GW, vegetables,SS,DC",Rainyseason-guinea corn,6,6/4/2008,
8,10.832833,-0.986333,"Irrigated,dryseason, shallow GW, vegetables,SS,DC",,29,6/4/2008,
9,10.832722,-0.984639,"Irrigated,dryseason, shallow GW, vegetables,SS,DC","Rainyseason-Rice, guinea corn",38,6/4/2008,
10,10.833750,-0.984000,"Rangelands,grasses,short shrubs,trees",,NA,6/4/2008,
11,10.833472,-0.983028,"Irrigated,dryseason, shallow GW, vegetables,SS,DC","Rainyseason-Rice, guinea corn",6,6/4/2008,
12,10.832806,-0.982944,"Rangelands,grasses,short shrubs,trees",,NA,6/4/2008,
13,10.832083,-0.982750,"Irrigated,dryseason, dugout in river bed, vegetabl",Rainyseason-guinea corn,NA,6/4/2008,
14,10.831528,-0.982889,"Irrigated,dryseason, dugout in river bed, vegetabl",Rainyseason-guinea corn,NA,6/4/2008,
15,10.833139,-0.984139,"Irrigated,dryseason, dugout in river bed, vegetabl",Rainyseason-guinea corn,NA,6/4/2008,
16,10.831472,-0.985333,"Irrigated,dryseason, dugout in river bed, vegetabl",Rainyseason-guinea corn,NA,6/4/2008,
17,10.830639,-0.985528,"Rangelands,grasses,short shrubs,trees",,NA,6/4/2008,
18,10.831722,-0.986472,"Irrigated,dryseason, dugout in river bed, vegetabl",Rainyseason-guinea corn,NA,6/4/2008,
19,10.893861,-0.974056,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn,millet",NA,6/5/2008,
20,10.892639,-0.967194,"Irrigated,dryseason, shallow GW, vegetables,SS,DC","Rainyseason-guinea corn:75%,millet:25%",35,6/5/2008,
21,10.898222,-0.947139,"Rainfed,fallow,SS,dry season","rainyseason-groundnut:90%, leafy vegetables",NA,6/5/2008,
22,10.901833,-0.932889,"Irrigated,dryseason, dugout in river bed+shallow GW, vegetables,SS,DC",Rainyseason-guinea corn:100%,7,6/5/2008,
23,10.904806,-0.932389,"Irrigated,dryseason, shallow GW, vegetables,SS,DC","Rainyseason-guinea corn:40%,rice:40%",22,6/5/2008,
24,10.849417,-0.929083,"Rainfed,fallow,SS,dry season",rainyseason-groundnut:100%,NA,6/5/2008,
25,10.849500,-0.930639,"Rainfed,fallow,SS,dry season",Rainyseason-guinea corn:100%,NA,6/5/2008,
26,10.855944,-0.938667,"Rainfed,fallow,SS,dry season",Rainyseason-rice:100,NA,6/5/2008,
27,10.859472,-0.937556,"Irrigated,dryseason, shallow GW, vegetables,SS,DC",Rainyseason-rice:100%,16,6/5/2008,
28,10.860194,-0.940444,"Irrigated,dryseason, dugout in river bed, vegetables,SS,DC",Rainyseason-guinea corn:100%,34,6/5/2008,
29,10.861083,-0.940583,"Irrigated,dryseason, dugout in river bed, vegetables,SS,DC",Rainyseason-guinea corn:100%,35,6/5/2008,
30,10.896583,-0.886917,"Rainfed,fallow,SS,dry season",rainyseason-groundnut:100%,NA,6/5/2008,
31,10.918361,-0.907528,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/5/2008,
32,10.926694,-0.912167,"Shrublands,rocks,grasses,shortshrubs",,NA,6/5/2008,
33,10.935861,-0.922750,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/5/2008,
34,10.957306,-0.938667,"Forest,trees,grasses,shrubs",,NA,6/5/2008,
35,10.941194,-0.941972,"Forest,trees,grasses,shrubs",,NA,6/5/2008,
36,10.926556,-0.949611,"Rainfed,fallow,SS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/5/2008,
37,10.925472,-0.937944,"Rangelands,grasses,short shrubs,trees",,NA,6/5/2008,
38,10.925111,-0.938500,"Barrenlands,shortgrasses,trees",,NA,6/5/2008,
39,10.922861,-0.934083,"Irrigated,dryseason, shallow GW, vegetables,SS,DC","Rainyseason-guinea corn:50%,millet:50%",40,6/5/2008,
40,10.922833,-0.932500,"Irrigated,dryseason, dugout in river bed, vegetables,SS,DC","Rainyseason-guinea corn:50%,millet:50%",NA,6/5/2008,
41,10.845111,-0.994278,"Rainfed,fallow,LS,dry season",Rainyseason-millet:100%,NA,6/6/2008,
42,10.844583,-0.994806,"Rainfed,fallow,LS,dry season","Rainyseason-guinea corn:50%,millet:50%",NA,6/6/2008,
43,10.843472,-0.994694,"Rainfed,fallow,LS,dry season","Rainyseason-groundnut:80%,millet:20%",NA,6/6/2008,
44,10.842889,-0.989806,"Barrenlands,shortgrasses,trees",,NA,6/6/2008,
45,10.844222,-0.982583,"Barrenlands,shortgrasses,trees",,NA,6/6/2008,
46,10.842306,-0.979972,"Barrenlands,shortgrasses,trees",,NA,6/6/2008,
47,10.841972,-0.978028,"Irrigated,dryseason, dugout in river bed+shallow GW, vegetables,SS,DC",Rainyseason-guinea corn:100%,12,6/6/2008,
48,10.841667,-0.976556,"Irrigated,dryseason, dugout in river bed, vegetables,SS,DC","Rainyseason-guinea corn:40%,millet:60%",18,6/6/2008,
49,10.840639,-0.976250,"Irrigated,dryseason, shallow GW, vegetables,LS,DC","Rainyseason-guinea corn:40%,millet:60%",20,6/6/2008,
50,10.839861,-0.976222,"Rangelands,grasses,short shrubs,trees",,NA,6/6/2008,
51,10.839000,-0.976806,"Rainfed,fallow,LS,dry season",Rainyseason-guinea corn:100%,NA,6/6/2008,
52,10.846139,-0.969556,"Irrigated,dryseason, shallow GW, vegetables,LS,DC",Rainyseason-guinea corn:100%,18,6/6/2008,
53,10.851083,-0.968694,"Rainfed,fallow,SS,dry season",rainyseason-groundnut:100%,NA,6/6/2008,
54,10.854028,-0.962806,"Rainfed,fallow,LS,dry season",Rainyseason-guinea corn:100%,NA,6/6/2008,
55,10.852694,-0.962944,"Irrigated,dryseason, shallow GW, vegetables,LS,DC",Rainyseason-guinea corn:20%:rice:80,60,6/6/2008,
56,10.851722,-0.953833,"Irrigated,dryseason, shallow GW, vegetables,LS,DC","Rainyseason-guinea corn:50%,millet:50%",48,6/6/2008,
57,10.853444,-0.947806,"Irrigated,dryseason, shallow GW, vegetables,SS,DC",Rainyseason-guinea corn:20%:rice:80,20,6/6/2008,
