idx,P2000,P2015,map,label,P2
96,848.1467174,699.3274491,2,2. multple->single,594.4283317
297,731.2715575,525.9150445,2,2. multple->single,447.0277878
358,1235.91841,1123.225377,2,2. multple->single,954.7415705
386,860.4027276,944.8076204,2,2. multple->single,803.0864773
472,1488.27097,2074.41034,1,1. single->mutiple,2385.571891
527,593.7831575,252.6775982,1,1. single->mutiple,290.5792379
566,1419.469232,1258.594745,2,2. multple->single,1069.805533
618,1145.653009,967.4217535,2,2. multple->single,822.3084905
638,1105.199026,836.1188284,1,1. single->mutiple,961.5366527
663,515.274272,546.1500835,1,1. single->mutiple,628.072596
825,1362.208561,1034.209283,2,2. multple->single,879.0778906
838,861.2415324,779.2058923,2,2. multple->single,662.3250085
864,1097.121035,627.8079689,1,1. single->mutiple,721.9791642
902,1075.178268,882.0905773,2,2. multple->single,749.7769907
1097,1403.609205,1468.332422,1,1. single->mutiple,1688.582285
1174,246.7016734,260.4356016,2,2. multple->single,221.3702614
1214,964.2259647,512.12468,2,2. multple->single,435.305978
1336,2012.277022,1869.475144,1,1. single->mutiple,2149.896416
1473,894.1102048,1090.000337,2,2. multple->single,926.5002865
1486,656.7589256,669.299604,1,1. single->mutiple,769.6945446
1495,1183.243531,915.237418,2,2. multple->single,777.9518053
1515,957.343518,660.401781,1,1. single->mutiple,759.4620482
1808,626.9522049,833.9311977,1,1. single->mutiple,959.0208774
1959,1579.766372,1487.187265,2,2. multple->single,1264.109175
2109,321.6449424,368.2314894,1,1. single->mutiple,423.4662128
2192,808.8266028,1015.069844,2,2. multple->single,862.8093674
2199,480.1824804,562.4877447,2,2. multple->single,478.114583
2203,108.3213319,88.48818219,1,1. single->mutiple,101.7614095
2275,706.0024059,682.0796846,2,2. multple->single,579.7677319
2377,1438.027671,1001.021115,1,1. single->mutiple,1151.174282
2405,1134.725809,841.021008,1,1. single->mutiple,967.1741592
2441,1727.866818,710.7349052,2,2. multple->single,604.1246694
2465,774.6752031,719.0621207,2,2. multple->single,611.2028026
2507,203.709496,202.4322925,1,1. single->mutiple,232.7971364
2522,897.2842428,634.502922,1,1. single->mutiple,729.6783603
2685,704.5926675,469.8875997,2,2. multple->single,399.4044597
2712,688.4804902,411.030764,2,2. multple->single,349.3761494
2724,897.8343961,878.3506439,1,1. single->mutiple,1010.10324
2754,1410.901318,1487.270313,1,1. single->mutiple,1710.36086
2787,1073.879501,949.5505496,2,2. multple->single,807.1179672
2987,1208.342582,949.6273975,1,1. single->mutiple,1092.071507
3057,1379.561503,1494.254898,1,1. single->mutiple,1718.393133
3066,1009.115664,835.2084132,2,2. multple->single,709.9271512
3084,867.2288729,1173.639711,2,2. multple->single,997.5937544
3147,286.0071298,340.1534362,2,2. multple->single,289.1304208
3162,1011.76043,1095.360485,1,1. single->mutiple,1259.664558
3175,952.8940505,822.8476897,2,2. multple->single,699.4205362
3309,1063.138216,1152.13331,2,2. multple->single,979.3133135
3342,1633.287634,1626.128821,1,1. single->mutiple,1870.048144
3563,743.3841247,615.8438645,2,2. multple->single,523.4672848
3674,924.6938395,836.2078962,2,2. multple->single,710.7767118
3677,706.367437,544.6307019,1,1. single->mutiple,626.3253072
3681,572.3524765,723.1450211,2,2. multple->single,614.6732679
3724,884.3371551,858.326354,2,2. multple->single,729.5774009
3832,1072.271514,980.8658306,1,1. single->mutiple,1127.995705
4025,1189.207856,1301.223006,1,1. single->mutiple,1496.406457
4087,790.9462304,797.025103,1,1. single->mutiple,916.5788685
4257,1156.176835,924.9778008,2,2. multple->single,786.2311307
4576,368.4653946,399.502201,2,2. multple->single,339.5768709
4579,1190.606045,1116.45012,2,2. multple->single,948.982602
4609,366.1342294,252.9958407,1,1. single->mutiple,290.9452168
4876,681.0513678,853.9111519,1,1. single->mutiple,981.9978247
4964,1201.53153,910.0950116,1,1. single->mutiple,1046.609263
5030,1169.583153,1148.507823,1,1. single->mutiple,1320.783996
5035,1494.136482,1244.964035,1,1. single->mutiple,1431.70864
5089,393.8966637,351.8719377,2,2. multple->single,299.091147
5216,1406.871443,1193.934883,2,2. multple->single,1014.844651
5270,561.8298064,355.838965,2,2. multple->single,302.4631203
5289,1307.806176,1564.105443,1,1. single->mutiple,1798.721259
5330,946.1425281,853.4361974,2,2. multple->single,725.4207678
5361,472.8534904,552.1435098,1,1. single->mutiple,634.9650363
