idx,Longitude,Latitude,label,scale,date,desc
1,33.715079,-13.976514,Rainfed-SC-maize,,4/15/2014,"Malawi, Major cropland areas,13-22nd April 2014"
2,33.739489,-13.963746,Rainfed-SC-maize-LS,VLS (lowlands),4/15/2014,
3,33.749025,-13.929815,Rainfed-SC-maize-LS,Vls,4/15/2014,
4,33.787942,-13.89219,Irri-sugarcane-MS,LS,4/15/2014,
5,33.814251,-13.773834,Irri-Sugarcane-SS,,4/15/2014,
6,33.804214,-13.731185,Rainfed-SC-Groundnut-SS,,4/15/2014,
7,33.761617,-13.640181,Rainfed-SC-maize-LS,,4/15/2014,
8,33.746285,-13.573969,Rainfed-SC-maize-LS,,4/15/2014,
9,33.725478,-13.518181,Rainfed-SC-maize-LS,VLS,4/15/2014,
10,33.651958,-13.474028,Shrublands,,4/15/2014,
11,33.522007,-13.270578,Shrublands/trees,MS,4/15/2014,
12,33.518431,-13.247588,Rainfed-SC-maize-LS,,4/15/2014,
13,33.504089,-13.196435,Rain fed-SC-GN-SS,,4/15/2014,
14,33.490176,-13.147731,Rainfed-SC-maize-LS,,4/15/2014,
15,33.486118,-13.092103,Shrublands/trees,,4/15/2014,
16,33.483909,-13.062512,rangelands/shrubs,,4/15/2014,
17,33.50825,-13.040455,Rainfed-SC-sugarcane-SS,,4/15/2014,
18,33.521018,-13.036892,Rangelands,,4/15/2014,
19,33.563278,-13.028214,Plantations-Youcaliptus,,4/15/2014,
20,33.570767,-13.037612,Rangelands,,4/15/2014,
21,33.571728,-13.043561,Rainfed-SC-maize-VVLS,,4/15/2014,
22,33.597585,-13.03705,Rainfed-SC-sorghum/maize-LS,,4/15/2014,
23,33.629423,-13.039655,Rangelands,,4/15/2014,
24,33.721556,-13.082984,Shrublands-LS,,4/15/2014,
25,33.728096,-13.089453,Rainfed-Tobaco-SS,,4/15/2014,
26,33.782352,-13.098708,Shrubladns/rangelands,,4/15/2014,
27,33.797001,-13.130228,Rainfed-SC-maize-LS,,4/15/2014,
28,33.909703,-13.131784,Rainfed-SC-maize-LS,"M-50, Shrubs-30,T-10, G-10",4/15/2014,
29,33.922339,-13.130018,Rainfed-SC-tobaco/maize-VLS,"c-50, g-20,sh-20",4/15/2014,
30,33.951458,-13.14564,Rainfed-SC-maize-LS,"c-40, T-10, sh--30-G-20",4/15/2014,
31,33.873138,-13.239292,Rainfed-SC-maize-LS,100%,4/15/2014,
32,33.885983,-13.280076,Groundni=ut-SS,,4/15/2014,
33,33.902332,-13.316415,Rainfed-SC-maize/tobaco-LS,,4/15/2014,
34,33.935349,-13.411367,Rainfed-SC-maize-LS,,4/15/2014,
35,33.916505,-13.514267,aRainfed-SC-maize-VVLS,,4/15/2014,
36,33.906381,-13.608898,Forests/shrubs,,4/15/2014,
37,34.031011,-13.718398,aRainfed-SC-maize-VVLS,,4/15/2014,
38,34.270195,-13.74827,Forests/shrublands,,4/15/2014,
39,34.406353,-13.760542,Rainfed-SC-Gnut-MS,,4/15/2014,
40,34.478647,-13.785164,Rainfed-SC-rice-SS,Jan-May,4/15/2014,
41,34.580588,-13.752635,Rainfed-SC-maize-VVLS,,4/15/2014,
42,34.589332,-13.800006,Shrublands/trees,,4/15/2014,
43,34.580614,-13.796274,Shrublands/waterbodies,,4/15/2014,
44,33.86964,-13.812086,Maize,,4/15/2014,
45,33.929339,-14.074362,Rainfed-SC-maize-LS,"m-95, g-3,sh-2",4/16/2014,
46,34.038113,-14.113341,Rainfed-SC-maize-LS,,4/16/2014,
47,34.127684,-14.193172,Builtup lands,,4/16/2014,
48,34.155056,-14.277195,Rainfed-SC-maize-LS,m-100,4/16/2014,
49,34.21649,-14.339379,Shrublands-LZS,,4/16/2014,
50,34.432683,-14.461058,Rainfed-SC-maize-LS,M80-GR-10-TR-5,4/16/2014,
51,34.543214,-14.637982,Rainfed-SC-maize-LS,,4/16/2014,
52,34.597082,-14.79092,Rainfed-SC-maize-LS/hills,"t-30,m-70",4/16/2014,
53,34.612121,-14.803399,Shrubs/hills,,4/16/2014,
54,34.874714,-14.932844,Rainfed-SC-maize-LS,,4/16/2014,
55,34.842977,-15.008104,Shrublands/trees,,4/16/2014,
56,34.858202,-15.068487,Shrublands/grasses,,4/16/2014,
57,34.888215,-15.224945,shrubland,,4/16/2014,
58,34.901792,-15.303217,Rainfed-SC-sorghum-pp-LS,intercrop-sorghum-pp,4/16/2014,
59,34.895398,-15.341244,Rainfed-SC-sorgum-pp-LS,,4/16/2014,
60,34.88986,-15.35843,Rainfed-SC-cotton/pigeonpea-MS,,4/16/2014,
61,34.838315,-15.45699,Shrubladns/grasses,,4/16/2014,
62,34.864228,-15.534657,Rainfed-SC-maize-ls,,4/16/2014,
63,34.873578,-15.554468,Rainfed-SC-pigeonpea-SS,,4/16/2014,
64,34.906487,-15.591522,Rainfed-SC-sorghum.pigeonpea-MS,,4/16/2014,
65,34.926433,-15.657555,Rainfed-SC-sorghum-SS,,4/16/2014,
66,34.999178,-15.754377,Settlements/trees/shrubs,,4/16/2014,
67,34.965005,-15.891008,Rainfed-SC-maize-MS,,4/16/2014,
68,34.876278,-15.996488,Rainfed-SC-pigeonpea-VLS(smallpatched),,4/16/2014,
69,34.848695,-16.147573,Settlements/barrenlands,,4/16/2014,
70,34.854151,-16.23366,Irrigated-SW-sugarcane-VLS,,4/16/2014,
71,34.851829,-16.359016,Rainfed-SC-sorghum_VVLS,,4/16/2014,
72,34.858595,-16.415059,Rainfed-SC-sorghum-VVLS,,4/16/2014,
73,34.939443,-16.506751,Rainfed-SC-sorghum-VVLS,,4/16/2014,
74,35.133577,-16.597382,shrublands,,4/16/2014,
75,35.172628,-16.508002,grass/waste lands,,4/16/2014,
76,35.182054,-16.494001,maisze/mmillert/,,4/16/2014,
77,35.195752,-16.346167,Rainfed-lowlands-banana,,4/16/2014,
78,35.083234,-16.115105,Rainfed-SC-pigeonpea,,4/16/2014,
79,35.164678,-16.062166,Plantations-tea,,4/16/2014,
80,35.306422,-16.007156,Rainfed-SC-pigeoonpea-LS,pigeonpeapigeonpea,4/16/2014,
81,35.462174,-15.999593,Rainfed-SC-sorghum/pigeonpea-SS,,4/16/2014,
82,35.462174,-15.999593,Rainfed-SC-sorghum/pigeonpea-SS,,4/17/2014,
83,35.425004,-15.990592,Rainfed-SC-maize/pigeonpea-LS,,4/17/2014,
84,35.489268,-15.912601,Rainfed-SC-sorghum/pigeonpea/maize-LS,,4/17/2014,
85,35.562239,-15.856736,Rainfed-SC-sorghum/pigeonpea/maize-LS,,4/17/2014,
86,35.580324,-15.850291,Rainfed-SC-sunflower,,4/17/2014,
87,35.619048,-15.77084,Rainfrf-SC-rice,,4/17/2014,
88,35.521022,-15.659204,Forest/shrubs,,4/17/2014,
89,35.475402,-15.502275,Rainfed-SC-sorghum/pigeonpea/maize-LS,,4/17/2014,
90,35.388742,-15.438012,Rainfed-SC-maize-LS,,4/17/2014,
91,35.306521,-15.196208,Forests/shrubs/trees,,4/17/2014,
92,35.28766,-15.184187,Rainfed-SC-sorghum/pigeonpea/maize-LS,"m-60,p-30,so-10, t-10,s-10",4/17/2014,
93,35.251176,-15.067511,Grasslands/shrublands,,4/17/2014,
94,35.452083,-15.032223,Rainfed-SC-sorghum/pigeonpea/maize-LS,,4/17/2014,
95,35.529933,-14.932512,Rainfed-SC-sorghum/pigeonpea/milets-LS,,4/17/2014,
96,35.534182,-14.834441,Rainfed-SC-sorghum/pigeonpea/maize-SS,SS,4/17/2014,
97,35.527621,-14.604886,Rainfed-SC-sorghum/pigeonpea/maize-LS,,4/17/2014,
98,35.550961,-14.559612,Rainfed-SC-millets-MS,,4/17/2014,
99,35.600608,-14.393651,Rainfed-SC-maize-LS,,4/17/2014,
100,35.411423,-14.357786,Rainfed-SC-sorghum/pigeonpea/maize-LS,,4/17/2014,
101,35.242202,-14.560713,Water bodies,,4/17/2014,
102,35.208993,-14.421734,Rangleands/floodplanes,,4/17/2014,
103,35.027575,-14.207512,Rainfeed-Sc-sorghum-SS,,4/17/2014,
104,34.905025,-14.201999,Shrublands/ragnelands,,4/17/2014,
105,34.584483,-14.423661,Rainfed-SC-maize-LS,,4/17/2014,
106,34.418814,-14.427507,Rainfed-SC-maize-VLS,,4/17/2014,
107,34.193599,-14.310549,Shrublands/hills/forest,,4/17/2014,
108,33.713945,-14.173921,Rainfed-SC-maize-VLS,,4/17/2014,
109,33.740339,-14.018198,Rainfed-SC-maize-VLS,,4/18/2014,
110,33.558165,-14.0054,Rainfed-SC-maize-LS,,4/18/2014,
111,33.449708,-14.018132,Rainfed-SC-maize-VLS,,4/18/2014,
112,33.197381,-13.916455,Forest/shrubs,,4/18/2014,
113,33.12739,-13.917928,Rainfed-SC-Groundnut/maize-LS,"GN-30,m-50,sh-20",4/18/2014,
114,33.041186,-13.818916,Rainfed-SC-maize-LS,,4/18/2014,
115,33.05192,-13.672089,Rainfed-SC-groundnut/maize-MS,,4/18/2014,
116,33.134061,-13.585781,Rainfed-SC-groundnut-LS,Surrounded by maize,4/18/2014,
117,33.210587,-13.497941,Rainfed-SC-maize-LS,,4/18/2014,
118,33.302247,-13.429465,Rainfed-SC-maize/tobaco-LS,,4/18/2014,
119,33.398849,-13.398878,Rainfed-SC-groundnut-VVLS,Very large scale groundnut,4/18/2014,
120,33.450724,-13.087911,Rainfed-SC-maize-LS,,4/18/2014,
121,33.475627,-12.937927,Rainfed-SC-maize-LS,,4/18/2014,
122,33.504717,-12.57509,Rainfed-SC-maize-LS,,4/18/2014,
123,33.528898,-12.465771,Forests/shrubs/grasses,,4/18/2014,
124,33.535513,-12.306524,Shrubs/grasses,,4/18/2014,
125,33.481337,-12.23392,Rainfed-SC-maize/SF/tobaco-LS,,4/18/2014,
