idx,Longitude,Latitude,label,cropland,tree,grass,shrub,water,other,desc
1.000000,-7.929722,12.563333,Rainfed-SC-maize/vegetables-MS,80,3,0,15,0,2,"Mali, aug2015"
2.000000,-7.931250,12.534508,Rainfed-SC-maize-MS,70,0.5,0.5,25,0,4,
3.000000,-7.934775,12.492889,Orchards-mango plantations,30,34,1,5,0,30,
4.000000,-7.939711,12.466436,Orchards-mango plantations,30,50,2,15,0,3,
5.000000,-7.934775,12.435047,Rainfed-SC-maize-LS,90,2,1,5,,2,
6.000000,-7.931603,12.355339,Rainfed-SC-sorghum/maize-LS,92.5,2.5,1,3,0,1,
7.000000,-7.927017,12.333119,Shrublands/grasses,10,1.5,1.5,87,,,
8.000000,-7.929389,12.318278,Rainfed-SC-groundnut-VLS,70,5,1.5,8.5,,15,
9.000000,-7.909194,12.200000,Rainfed-SC-maize-MS,60,3,2,35,,,
10.000000,-7.894417,12.154333,Rainfed-SC-sorghum/maize-LS,75,5,1,14,,5,
11.000000,-7.908322,12.046378,Rainfed-SC-sorghum/groundnut-LS,70,4,1,20,,5,
12.000000,-7.907611,11.977600,Rainfed-SC-maize-LS,74,2,1,15,,8,
13.000000,-7.892444,11.956083,Rainfed-SC-sorghum/maize-LS,80,5,0,15,,,
14.000000,-7.865806,11.921000,Rainfed-SC-maize-MS,35,5,,60,,,
15.000000,-7.786500,11.824528,Rainfed-SC-maize-LS,85,2,0.5,5,,7.5,
16.000000,-7.748611,11.789722,Rainfed-SC-maize/groundnut/sorghum-LS,45,5,,50,,,
17.000000,-7.637700,11.680353,Shrublands/grasses,,,5,95,,,
18.000000,-7.596583,11.664778,Rainfed-SC-rice-LS,82,5,1,6,,6,
19.000000,-7.582500,11.628611,Rainfed-SC-rice-LS,66,7.5,2.5,20,4,,
20.000000,-7.526944,11.493611,Rainfed-SC-sorghum/maize-LS,20,,,80,,,
21.000000,-7.503333,11.448611,Rainfed-SC-maize/groundnut/sorghum-LS,90,5,1,3,,1,
22.000000,-7.728889,11.351667,Rainfed-SC-cotton/groundnut/maize-LS,92,4,1.5,1.5,,1,
23.000000,-7.734444,11.352889,Rainfed-SC-groundnut-VLS,90,3.5,1.5,5,,,
24.000000,-7.855278,11.411111,Rainfed-SC-cotton/maize-MS,96,1.5,1.5,1,,,
25.000000,-7.841878,11.443017,Rainfed-SC-maize-LS,70,10,,20,,,
26.000000,-7.855839,11.461342,Shrublands/grasses,20,10,6,60,4,,
27.000000,-7.879397,11.477044,Shrublands/trees,,30,,70,,,
28.000000,-7.919217,11.495861,Rainfed-SC-groundnut-SS,75,5,,20,,,
29.000000,-7.932028,11.510944,Rainfed-SC_cotton-MS,80,3,,4,,13,
30.000000,-7.349444,11.365000,Rainfed-SC-maize/sorghum-MS,95,1.5,1.5,2,,,
31.000000,-7.268639,11.374750,Rainfed-SC-groundnut/sorghum/maize-MS,80,4.5,1.5,14,,,
32.000000,-6.760000,11.440833,Rainfed-SC-groundnut/sorghum/maize-MS,20,,,80,,,
33.000000,-6.579444,11.451111,Rainfed-SC-rice-LS,85,4,,10,,1,
34.000000,-6.500556,11.447500,Rainfed-SC-maize/groundnut-MS,80,3,,12,,5,
35.000000,-6.371667,11.421944,Rainfed-SC-groundnut/maize-MS,89,2.5,,8.5,,,
36.000000,-6.361917,11.423833,Rainfed-SC-rice-LS,96,4,,,,,
37.000000,-6.213056,11.385000,Shrublands/forests/trees,,,,100,,,
38.000000,-6.142500,11.373333,Rainfed-SC-cotton-MS,92.5,2.5,,5,,,
39.000000,-5.769444,11.316944,Rainfed-SC-groundnut/maize-MS,80,3,1,8,,8,
40.000000,-5.696667,11.357778,Rainfed-SC-maize/groundnut/yam-MS,40,5,,15,,40,
41.000000,-5.767528,11.461722,Rainfed-SC-rice-LS,86,4,1,7.5,0.5,1,
42.000000,-5.784889,11.572639,Rainfed-SC-yam-VLS,20,,,80,,,
43.000000,-5.788056,11.688056,Rainfed-SC-cotton-MS,95,2,,,,3,
44.000000,-5.781972,11.782250,Rainfed-SC-sorghum-MS,95,4,1,,,,
45.000000,-5.769444,11.811944,Rainfed-SC-cotton-VLS,96,3,,1,,,
46.000000,-5.706944,11.905000,Shrublands/forests/trees,,,,100,,,
47.000000,-5.643667,12.091889,Rainfed-SC-cotton-VLS,94,2,,4,,,
48.000000,-5.634444,12.098611,Rainfed-SC-rice-LS,98,1,1,,,,
49.000000,-5.539444,12.230111,Rainfed-SC_cotton/millet/sorghum-MS,82,5,1,10,,2,
50.000000,-5.493889,12.248333,Rainfed-SC-groundnut-VLS,96,3,,,,1,
51.000000,-5.406111,12.246944,Shrublands,,,,100,,,
52.000000,-5.313056,12.233611,Rainfed-SC-sorghum/millet/maize-LS,80,5,,15,,,
53.000000,-5.195833,12.230556,Shrublands,5,,,95,,,
54.000000,-5.192417,12.234778,Rainfed-SC-sorghum/millet/cotton-VLS,85,4,,10,,1,
55.000000,-5.198861,12.213000,Rainfed-SC-sorghum/cotton/maize-MS,96,1,,2.5,,0.5,
56.000000,-5.477417,12.324167,Rainfed-SC-millet/maize-LS,97,2,,,0.5,0.5,
57.000000,-5.515000,12.471389,Shrublands-VLS,42.5,2,,55,,0.5,
58.000000,-5.521306,12.479750,Rainfed-SC-cotton/maize/millet-LS,97,2,,1,,,
59.000000,-5.613861,12.582917,Rainfed-SC-rice-MS,94,1.5,0.5,1,,3,
60.000000,-5.675556,12.614444,Shrublands-LS,,,,100,,,
61.000000,-5.709722,12.614444,Rainfed-SC-maize/sorghum-MS,50,5,,45,,,
62.000000,-5.722778,12.673889,Rainfed-SC-rice-MS,95,3,,,1,1,
63.000000,-5.723056,12.711111,Barrenlands/shrublands,70,5,,25,,,
64.000000,-5.727222,12.740028,Rainfed-SC-maize/sorghum-MS,97,1.5,,0.5,,1,
65.000000,-5.769722,12.840556,Rainfed-maize-LS,93,1.5,,5,,0.5,
66.000000,-5.766111,12.888333,Barrenlands/shrublands,10,,,90,,,
67.000000,-5.784667,13.029111,Rainfed-SC-millet-LS,95,,,5,,,
68.000000,-5.844750,13.131028,Rainfed-SC-millet/maize-LS,99,1,,,,,
69.000000,-5.922833,13.230389,Rainfed-SC-millet/sorghum-LS,99,1,,,,,
70.000000,-5.966111,13.255278,Rainfed-SC-sorghum-MS,30,,,,1,69,
