idx,B3,B4,B5,crop,nd,slope,type
0,0.1564044,0.17378345,0.31349084,0,-0.028986549,8.962629,Non-Crop
1,0.14639983,0.16183579,0.3365033,1,-0.039774533,3.7047918,Crop
2,0.18316275,0.24505651,0.36278567,1,-0.016434593,3.904738,Crop
3,0.15501834,0.18401226,0.31431317,1,-0.02505158,1.1523076,Crop
4,0.19485433,0.23064736,0.35773253,0,0.00613162,4.3603888,Non-Crop
5,0.10923346,0.10281305,0.25966164,0,-0.05943464,17.130632,Non-Crop
6,0.17745422,0.20713978,0.32373315,0,-0.015284428,5.9990582,Non-Crop
7,0.20477504,0.22280863,0.31040657,0,-0.010696923,1.4842572,Non-Crop
8,0.11775421,0.1177636,0.28341338,0,-0.058153775,13.628974,Non-Crop
9,0.09731971,0.0863593,0.23798184,0,-0.07163481,27.697454,Non-Crop
10,0.18750738,0.23523486,0.38726038,0,0.028978154,9.213493,Non-Crop
11,0.17776896,0.21193327,0.30462834,0,-0.032426298,1.4804444,Non-Crop
12,0.11622669,0.10276411,0.35390612,1,-0.07162165,0.92740995,Crop
13,0.17642722,0.22931893,0.36410433,1,-3.42E-04,1.1553172,Crop
14,0.19025004,0.2157757,0.2601848,0,-0.014870619,4.9478893,Non-Crop
15,0.17727222,0.20508437,0.35535854,0,-0.007241115,17.774233,Non-Crop
16,0.20093583,0.24267015,0.30627072,0,-0.016695218,1.1483263,Non-Crop
17,0.17848717,0.20101763,0.32669312,1,-0.020218793,1.4747151,Crop
18,0.18103488,0.22207813,0.27982607,1,-0.023071673,1.8543341,Crop
19,0.16262776,0.19934817,0.30553198,1,-0.004170701,0.92740995,Crop
20,0.18220674,0.22078,0.34046978,0,-0.024469584,17.55395,Non-Crop
21,0.1667365,0.18866463,0.314599,1,-0.017093314,1.4755656,Crop
22,0.14338085,0.14670303,0.29963812,0,-0.04722725,10.029451,Non-Crop
23,0.18314683,0.1914156,0.3178558,0,-0.016889658,2.3168852,Non-Crop
24,0.17121187,0.21482927,0.3792684,1,-0.018353522,2.4819443,Crop
25,0.22022648,0.24210237,0.38041466,0,-0.003129687,2.7802885,Non-Crop
26,0.16458873,0.18581617,0.272701,1,-0.02283962,0.92740995,Crop
27,0.14488895,0.15539502,0.32495496,0,-0.035227284,9.470535,Non-Crop
28,0.15854606,0.19192801,0.3217367,1,-0.019862464,3.4433405,Crop
29,0.17981498,0.19546968,0.3402219,0,-0.01884254,18.775116,Non-Crop
30,0.22535142,0.2661336,0.36228436,1,0.018569708,6.3627477,Crop
31,0.22822516,0.2400308,0.26170868,0,-0.006861622,0.92740995,Non-Crop
32,0.10237565,0.0928857,0.23022449,0,-0.08109331,11.704602,Non-Crop
33,0.20036839,0.23390502,0.35691452,1,-0.006598035,1.1469476,Crop
34,0.15241358,0.18469685,0.3078918,1,-0.038928,1.1469233,Crop
35,0.22987217,0.25230634,0.30341023,0,-0.004650446,20.187214,Non-Crop
36,0.15837015,0.18712148,0.3158984,1,-0.034003254,2.9555562,Crop
37,0.0995389,0.08670135,0.22953041,0,-0.07016325,13.502243,Non-Crop
38,0.19870271,0.21995835,0.31375486,0,-0.004628766,9.336088,Non-Crop
39,0.11716607,0.10886596,0.2495962,0,-0.06935416,10.043688,Non-Crop
40,0.22639763,0.2745385,0.3403551,0,7.80E-04,1.154478,Non-Crop
41,0.2102352,0.26177278,0.40258357,0,-0.004967723,3.0078828,Non-Crop
42,0.17591113,0.20316899,0.3264681,0,-0.016161375,3.6082025,Non-Crop
43,0.18775569,0.23400158,0.3311704,1,-0.011328114,1.8543341,Crop
44,0.18027538,0.20427836,0.31324065,0,-0.016518593,9.549666,Non-Crop
45,0.16150254,0.18239637,0.33637536,0,-0.01434514,1.8543341,Non-Crop
46,0.11313757,0.08192095,0.049557775,0,-0.053542197,0,Non-Crop
