idx,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,class,lat,lon,desc
2,6253,5836,6006,5712,6504,5680,5497,4543,4065,3496,3592,2830,2972,2682,2643,2802,2571,3023,4777,5663,6258,5005,6142,0,-27.69929056,29.33996427,2014 MOD13Q1 features for sa-corn-sugar-other-samples
10,4533,5876,7001,7092,6772,6676,6730,5137,4477,3454,3299,2903,2969,2578,2372,2379,2316,2566,2425,3533,3411,4435,4055,2,-28.13756217,28.44754364,
12,4666,4532,4932,4886,5029,4821,4795,4224,3655,3379,3025,2856,2582,2512,2738,2261,2385,2428,2695,3905,3824,3944,4481,0,-28.7238523,28.2839157,
38,6969,6928,6764,6232,7146,7550,7216,6292,5846,5203,4581,3909,3533,3170,3210,3027,2866,3464,4655,4350,4335,4173,7323,0,-28.30551054,31.46402694,
46,7580,6930,6683,5533,6927,8067,7106,6448,6151,4967,4438,3976,3545,3471,3462,3040,2850,3164,4651,3793,5924,6440,6768,0,-27.80215546,31.65268331,
48,5206,4563,6755,4806,7201,6165,6144,5638,5282,5029,4973,3969,3920,3135,3192,2861,2685,2555,2472,3080,4694,4650,5524,0,-31.02177166,27.40943136,
56,3834,3406,4619,3806,4575,3850,4991,3986,3070,3294,2886,2401,2444,2372,2563,2829,2500,3187,2665,2369,4220,3620,3803,0,-29.13239674,27.86853781,
57,5839,5002,5277,4928,5573,5783,5362,5918,4901,4205,3689,3600,3519,2792,2778,2618,2419,2800,4069,4445,4746,4703,5854,0,-27.40575101,31.26950482,
61,6218,6526,6141,5640,6507,6897,7064,6129,5831,5163,4856,4282,4143,3589,3606,3466,3081,2856,3103,3724,4262,3824,6233,0,-28.69427779,31.75108265,
62,3687,3518,4633,5441,5768,5096,4912,4001,3646,2937,2804,2494,2312,2284,2238,2017,1962,2138,2039,2693,3566,2951,3863,0,-30.25505226,27.84780216,
65,5069,4233,5166,4808,5777,5417,5042,4603,3998,3254,2980,2693,2719,2479,2547,2408,2559,3295,3335,1896,5069,5547,5030,0,-27.62093824,28.2940065,
69,6270,6209,6442,5930,6871,6678,6435,6513,6376,5486,4919,4055,4090,3974,3380,3320,2964,3353,4357,4940,5532,4231,4447,0,-28.62348542,31.92620229,
73,5713,4542,5864,5578,6492,5587,4583,4539,4407,3944,3314,2860,2602,2530,2404,2262,2255,2444,3156,4036,4695,4251,5865,0,-31.06082638,29.0463776,
84,6598,5340,6307,6299,6897,6191,6639,7443,6155,6189,4787,4344,3691,4479,5554,5652,5497,6310,5167,5351,5295,5194,6563,0,-28.93549997,30.37079215,
87,5697,5356,6175,5849,5509,5273,4626,3925,3945,3211,2710,2559,2536,2559,2429,2171,2487,2600,2515,3617,4342,4332,4740,0,-28.40073339,28.50068439,
92,6387,6401,6181,5631,5731,6106,5683,4780,3716,3250,3045,2668,2465,2343,2292,2106,2142,2562,2695,4076,5083,5378,5418,2,-27.61096931,27.92100321,
97,6596,5398,6356,4677,5839,6218,5447,4809,3545,2966,2980,2669,2554,2524,2391,2185,2216,2769,3611,4761,4705,3824,4756,0,-27.52403311,29.43249253,
