idx,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class,lat,lon,desc
1,0.3473,0.2832,0.1149,0.121,0.1502,0.1756,0.212,0.2367,0.2336,0.2642,2,-27.2894197,27.75636086,"sa-corn-sugar-other-samples, Dataset, fetch-sentinel"
2,0.26545,0.17385,0.1033,0.0994,0.1105,0.1347,0.17485,0.19845,0.19745,0.22885,2,-26.72988771,27.66293294,
3,0.27315,0.18685,0.1212,0.11575,0.12825,0.149,0.22775,0.2574,0.25465,0.2815,0,-28.07218875,28.2922628,
4,0.33225,0.27405,0.124,0.1368,0.16895,0.18565,0.21085,0.2339,0.231,0.25885,0,-28.25003412,28.10951473,
5,0.20955,0.1121,0.1016,0.1017,0.0871,0.12605,0.29835,0.3503,0.33885,0.37215,0,-28.0708547,27.72761932,
6,0.2226,0.1567,0.0984,0.0888,0.0905,0.1055,0.155,0.181,0.1838,0.2026,0,-27.74273666,28.31955184,
7,0.2507,0.16445,0.1099,0.11455,0.1068,0.14705,0.25915,0.2956,0.28735,0.31775,0,-28.10867037,27.68660888,
8,0.3051,0.1913,0.1495,0.15435,0.1531,0.19975,0.28765,0.3284,0.3278,0.35755,0,-27.95136458,28.75504688,
9,0.2094,0.1141,0.1056,0.0934,0.0967,0.1194,0.1709,0.1921,0.1864,0.208,0,-26.61647023,28.76910577,
10,0.2713,0.1664,0.10815,0.1093,0.10755,0.14205,0.23045,0.26485,0.2624,0.29155,0,-27.54575378,28.06303604,
11,0.306,0.2353,0.1213,0.1232,0.1413,0.1669,0.2082,0.2336,0.2354,0.2613,0,-27.8933902,28.14918386,
12,0.3053,0.2408,0.1198,0.1122,0.1235,0.1542,0.2148,0.248,0.242,0.2792,0,-27.01014779,29.13770579,
13,0.2312,0.13805,0.09765,0.09595,0.08595,0.1238,0.2463,0.2861,0.2846,0.3083,0,-27.69327231,28.16162319,
14,0.2124,0.14865,0.09445,0.0895,0.0862,0.1085,0.1462,0.16365,0.16435,0.18475,0,-28.01565016,28.62774993,
15,0.2428,0.1445,0.0948,0.0908,0.0847,0.1171,0.2194,0.2576,0.2615,0.279,0,-27.68550619,28.59594897,
