idx,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,BQA,amplitude,phase,class,croptype 
0,0.11900264,300.3709717,299.0056458,0.095006585,0.085757717,0.05823547,0.303929985,0.166057199,0.085473627,0.077306591,0.001300011,20512,0.006319421,2.480757442,0,Others
1,0.13482514,301.4963684,299.4758301,0.111978099,0.090732127,0.072621062,0.270909101,0.193868101,0.114700772,0.080971241,0.001389668,20480,0.097818923,1.056958205,0,Others
2,0.130297691,306.974762,304.8809814,0.114177763,0.108883873,0.122356325,0.240763158,0.293848842,0.219091028,0.113991648,0.00140901,20480,0.027511426,-1.088813794,0,Others
3,0.145217746,304.3216858,300.584137,0.130729571,0.129744276,0.136987984,0.249993727,0.26908955,0.209544584,0.111287162,0.001300011,20480,0.015412773,-1.627299248,0,Others
4,0.13070254,301.4385071,298.9474487,0.111241102,0.099909708,0.089476652,0.252942711,0.201106399,0.124622278,0.097952046,0.001432896,20480,0.05721889,2.001618506,0,Others
5,0.122976229,309.8810425,308.3192139,0.107866555,0.097737372,0.105831817,0.196780205,0.275009304,0.259781539,0.098648846,0.001609886,20480,0.058431646,2.119016088,1,Sugarcane
6,0.100693122,300.2107544,300.0168457,0.078450322,0.055398442,0.034604672,0.057893805,0.014569121,0.01113699,0.046850141,0.001177232,20512,0.12515798,-0.400882074,0,Others
7,0.140134573,301.9284058,299.533783,0.123071201,0.116845988,0.111807592,0.265481621,0.251870126,0.175200462,0.116868377,0.001346192,20480,0.069891345,2.02713933,0,Others
8,0.127472594,306.4057617,304.415802,0.1095469,0.099491224,0.096850768,0.212691933,0.232070714,0.179586545,0.097189315,0.001113774,20480,0.208589093,1.835434613,1,Sugarcane
9,0.134043708,303.0052185,300.5813904,0.117853664,0.115211308,0.10601186,0.285717815,0.254828781,0.167785779,0.114064984,0.001620417,20480,0.121519835,1.836243723,1,Sugarcane
10,0.127202764,305.4499207,303.4848633,0.107758313,0.094930679,0.092332557,0.19596836,0.211051613,0.137193784,0.081047714,0.001436658,20480,0.034509272,2.970740807,0,Others
