Country,Land,ADM0,region,aqua_land,aqua_cultivable,aqua_2002,pot_ir,pot_rf,faostat_tot,faostat_irrigated,MIRCA,calAH_TOT,calAH_RF_ha,calAH_IR_ha,MMGA_TOT_ha,MMGA_RF_ha,MMGA_IR_ha,GCEV2,GCEV2_RF,GCEV2_IR,GLC30,GRIPC
Algeria,231.2694544,4,1,"238,174,000","40,000,000",8265000,"510,300","39,489,700",5757848,"13,018,651",5955262,3478918,2908471,570447,3236291,2727974,512517,7535356,5606509,1928848,7732043,3989280
Angola,124.7128954,8,4,"124,670,000","32,000,000",3300000,"3,700,000","28,300,000",5978679,"15,139,251",3671322,2165384,2123384,42000,2406164,2372096,35000,3539916,3429193,110723,4286455,2168749
Benin,11.51993389,29,3,"11,262,000","7,000,000",2815000,"322,000","6,678,000",7278177,"9,857,477",2852324,1790094,1787271,2823,1429889,1428467,2505,2709420,2680533,28887,2952197,2441663
Botswana,57.83879407,35,6,"58,173,000","2,908,650",380000,"13,000","2,895,650",856268,"751,151",870142,167487,166867,620,167194,166866,620,842282,828178,14104,844412,16145
Burkina Faso,27.39476723,42,2,"27,400,000","9,000,000",4400000,"165,000","8,835,000",13220708,"24,293,209",4336935,3503874,3483641,20233,3326174,3314973,14932,4194263,4169421,24841,4191354,10387004
Burundi,2.722706074,43,5,"2,783,000","1,400,000",1351000,"215,000","1,185,000",3044153,"3,416,314",1084716,1145455,1125325,20130,1084716,1073810,10907,640556,607372,33184,671173,1256333
Cameroon,46.49874068,45,4,"47,544,000",-,7160000,"290,000",-,9036955,"16,971,164",7402305,3289031,3243952,45079,3006938,2981284,25654,1333297,1325206,8090,1447950,4445060
Cape Verde,0.407997405,47,2,"403,000",-,45000,"3,109",-,205876,"204,942",60131,49542,46964,2578,49627,47049,2578,1360,1334,26,529,22283
Central African Republic,62.0315481,49,4,"62,298,000","15,000,000",2024000,"1,900,000","13,100,000",2345061,"2,526,600",2057195,776461,776393,69,811631,811591,43,1087441,1082190,5251,694435,612960
Chad,127.0888825,50,2,"128,400,000","19,000,000",3630000,"335,000","18,665,000",10487746,"13,246,455",3720393,2109591,2082787,26804,1955043,1932289,22754,284705,284643,62,4800664,7132732
Comoros,0.166884181,58,7,"223,000",-,132000,300,#VALUE!,249760,"289,115",79782,75782,75697,85,79782,79697,85,4716337,4616572,99765,117,38187
Congo,34.22145922,59,4,"34,200,000",-,240000,"340,000",#VALUE!,583149,"938,200",581800,213392,211392,2000,242574,240616,2000,26,18,9,223422,3401195
Congo DRC,232.9439338,68,4,"234,486,000","80,000,000",7800000,"7,000,000","73,000,000",16863948,"19,216,510",9804456,6069417,6061646,7771,6329499,6323628,6800,4155759,4076179,79579,4467967,11410611
