idx,Latitude ,longitude,label,date,cropand,tree,grasse,shrub,water,other,wet-jan-jun-lastyear,dry-jun-dec-lastyear,wet-jan-jun,dry-jun-dec,wet,dry,desc
1,-3.32,29.374722,1) Irrigated-SW-DC-rice-rice-LS,14-May-13,98,1,0.5,0.5,,,rice,rice,rice,rice,irrigated,irrigated,East Africa_GT_rice-ecosystems_Mar2013b
2,-3.311056,29.35375,2) Irrigated-SW-DC-rice-rice-LS,14-May-13,97,1,1,1,,,rice,rice,rice,rice,irrigated,irrigated,
3,-3.242944,29.306472,3) Rainfed-SC-cotton-fallow-LS,14-May-13,90,5,2.5,2.5,,,cotton,fallow,cotton,,rainfed,,
4,-3.221361,29.290306,4) Rainfed-SC-rice-fallow-LS,14-May-13,90,,8,2,,,rice,fallow,rice,,rainfed,,
5,-3.180778,29.286333,5) Irrrigated-SC-sugarcane,14-May-13,92,3,2,3,,,sugarcane,,sugarcane,,irrigated,,
6,-3.18025,29.289194,6) Irrigated-SW-DC-rice-rice-LS,14-May-13,98,1,1,,,,rice,rice,rice,rice,irrigated,,
7,-3.098611,29.251222,7) Rainfed-SC-cotton-fallow-LS,14-May-13,85,10,2,3,,,cotton,,cotton,,rainfed,,
8,-3.051944,29.263333,8) Rainfed-SC-cotton-fallow-LS,14-May-13,85,10,2,3,,,cotton,,cotton,,rainfed,,
9,-2.977889,29.208667,9) Rainfed-SC-cotton-fallow-LS,14-May-13,90,5,2,3,,,cotton,fallow,cotton,,rainfed,,
10,-2.953472,29.182361,10) Rainfed-SC-cotton-fallow-LS,14-May-13,90,5,2,3,,,cotton,,cotton,,rainfed,,
11,-2.862556,29.105778,11) Irrigated-SW-DC-rice-rice-LS,14-May-13,91,6,2,1,,,rice,rice,rice,rice,irrigated,,
12,-2.814028,29.070833,12) Irrigated-SW-DC-rice-rice-LS,14-May-13,95,2,2,1,,,rice,rice,rice,rice,irrigated,,
13,-2.814028,29.070833,13) Irrigated-SW-DC-rice-rice-LS,14-May-13,99,0.5,0.5,,,,rice,rice,rice,rice,irrigated,,
14,-2.761083,29.110222,14) Rainfed-SC-rice-fallow-LS,14-May-13,70,10,20,,,,rice,,rice,,rainfed,,
15,-2.725833,29.151111,15) Rainfed-SC-rice-fallow-LS ,14-May-13,75,10,15,,,,rice,,rice,,rainfed,,
16,-2.721667,29.181111,16) Tea plantationbs,14-May-13,100,,,,,,tea plantations,,tea plantations,,rainfed,,
17,-2.929444,29.838806,17) Irrigated-SW-DC-rice-rice-LS,15-May-13,75,10,5,10,,,rice,rice,rice,rice,irrigated,,
18,-2.939028,29.86575,18) Irrigated-SW-DC-rice-rice-LS,15-May-13,80,5,10,5,,,rice,vegetables,rice,vegetables,irrigated,,
19,-2.856111,29.871111,19) Rainfed-SC-banana/maize/vegetables-LS,15-May-13,99,0.5,0.5,,,,rice,rice/pulses,rice,,rainfed,,
20,-2.817955,29.887328,20) Rainfed-SC-rice-fallow-LS,15-May-13,50,40,5,5,,,rice,vegetables,rice,vegetables,rainfed,,
21,-2.783056,29.901111,21) Rainfed-DC-rice-rice-LS,15-May-13,75,5,5,15,,,rice,rice,rice,rice,rainfed,,
22,-2.906194,30.370167,22) Rainfed-DC-rice-beans-SS,15-May-13,50,30,10,10,,,rice,beans,rice,beans,rainfed,,
23,-3.11825,30.553278,23) Rainfed-SC-banana/maize/vegetables-LS,15-May-13,50,5,5,40,,,maize,banana,maize,banana,rainfed,,
