T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,class,code1,idx,l1,l2,l3,l4,label,latitude,longitude,use
7459,7758,6823,7372,7561,7063,7446,6444,2501,2091,2000,1859,2093,1846,1757,1791,2063,1753,1945,2267,3032,3894,3784,1,1,1,cropland,irrigated,Barley/Wheat,Barley,Irrigated-SC-barley-LS,36.68998198,10.22700276,0
4952,5502,7659,7524,7787,7796,7225,5585,3373,2355,2228,1837,2202,1768,1782,1812,1808,1800,2215,2884,2297,2727,3410,1,1,2,cropland,Rainfed,Barley/Wheat,Wheat,Rainfed-SC-wheat-MS,36.92168439,10.10365347,0
4879,5551,6311,6764,5969,6321,5329,3995,2745,2267,1819,1836,2375,1916,2060,1971,1716,1565,1795,1734,2042,2394,3383,1,1,3,cropland,Rainfed,Barley/Wheat,Wheat,Rainfed-SC-wheat/forage-VLS,36.94450166,10.08736787,0
6637,7580,8376,8368,8008,8083,7400,6298,3117,2977,2954,2493,2450,2383,2480,2415,2244,2152,2595,3033,3587,5027,6122,1,1,7,cropland,Rainfed,Barley/Wheat,Wheat,Rainfed-SC-wheat-VLS,37.18645384,9.957090412,0
6416,7342,7788,8613,7998,7171,7571,6108,3866,3039,2660,2454,2567,2557,2278,2426,2175,2523,3093,2488,3368,3110,4031,1,1,8,cropland,Rainfed,Barley/Wheat,Wheat,Rainfed-SC-Wheat/grass-LS,37.13111111,9.816388889,0
5182,7082,7436,8453,8158,8254,8066,7996,6425,3694,3064,3047,2345,2108,2085,2266,2270,1704,1951,2197,2319,2240,2534,1,1,16,cropland,Rainfed,Barley/Wheat,Wheat,Rainfed-SC-wheat-LS,36.87186145,9.405163755,0
5426,4290,7621,8258,7442,7601,7716,7893,7289,4956,3109,3170,2474,1997,2004,1893,1845,1676,2072,2110,2126,3971,3256,1,1,17,cropland,Rainfed,Barley/Wheat,Wheat,Rainfed-SC-wheat-LS,36.81917943,9.363597998,0
6121,3750,7414,7530,7377,8216,8354,7982,7443,5002,3531,2853,2676,2385,2333,2305,1996,1993,1976,2220,2245,2405,2387,1,1,18,cropland,Rainfed,Barley/Wheat,Wheat,Rainfed-SC-wheat-LS,36.82815346,9.313483154,0
4835,3257,6987,7999,7446,8724,8554,7764,7071,3602,3247,2957,2844,2262,2047,1991,1985,1895,1968,1969,2170,1993,2173,1,1,20,cropland,Rainfed,Barley/Wheat,Wheat,Rainfed-SC-wheat-LS,36.84777778,9.250555556,0
4305,7422,6383,6131,7000,6175,6532,6513,5663,4457,4497,3594,3497,2235,2278,2054,2125,2107,2197,2193,2681,2682,3495,1,1,22,cropland,Rainfed,Barley/Wheat,Wheat,Rainfed-SC-wheat-LS,36.71192407,9.176459746,0
5195,6098,6419,6835,7338,7363,7109,6009,4236,2589,2257,2202,1973,1920,2035,1872,1787,1824,2048,2989,2777,3234,3152,1,1,23,cropland,Rainfed,Barley/Wheat,Wheat,Rainfed-SC-wheat/barley/fodder-LS,36.63788128,9.124694194,0
