idx,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class,latitude,longitude,desc
1,0.3507,0.24975,0.15885,0.17035,0.2191,0.2305,0.2579,0.28375,0.27235,0.31085,1,36.68998198,10.22700276,fetch-sentinel-bands
2,0.3313,0.2297,0.1443,0.1576,0.2013,0.231,0.2651,0.2945,0.2861,0.3184,1,36.92168439,10.10365347,
3,0.2735,0.1765,0.1153,0.1157,0.1312,0.1622,0.2489,0.2837,0.2716,0.3064,1,36.94450166,10.08736787,
7,0.21695,0.12165,0.1103,0.10715,0.13065,0.1599,0.2316,0.2631,0.25875,0.2971,1,37.18645384,9.957090412,
8,0.248,0.1664,0.1213,0.11515,0.13275,0.1519,0.2116,0.24495,0.24045,0.2719,1,37.13111111,9.816388889,
16,0.1997,0.1078,0.1058,0.1016,0.0903,0.1096,0.1799,0.2407,0.2174,0.2319,1,36.87186145,9.405163755,
17,0.1733,0.09425,0.1117,0.1081,0.10485,0.1408,0.2793,0.34865,0.338,0.3773,1,36.81917943,9.363597998,
18,0.23305,0.13535,0.13895,0.1436,0.14785,0.18375,0.30415,0.3584,0.349,0.3973,1,36.82815346,9.313483154,
20,0.2595,0.15395,0.1485,0.1575,0.18835,0.2055,0.26875,0.3288,0.32285,0.36265,1,36.84777778,9.250555556,
22,0.2307,0.1307,0.1185,0.1181,0.1501,0.1679,0.2687,0.2987,0.288,0.3324,1,36.71192407,9.176459746,
23,0.3129,0.1949,0.1283,0.1334,0.1758,0.1994,0.2657,0.295,0.2852,0.3303,1,36.63788128,9.124694194,
25,0.1852,0.0983,0.11565,0.1108,0.1096,0.1341,0.2506,0.3113,0.2988,0.3324,1,36.63194444,8.916666667,
28,0.20565,0.1104,0.1153,0.1125,0.10805,0.14625,0.28995,0.34965,0.3432,0.389,1,36.67916198,8.706139491,
29,0.1944,0.0981,0.1131,0.1057,0.0928,0.1299,0.2107,0.2346,0.2428,0.2579,1,36.59833333,8.6875,
31,0.1816,0.09465,0.1322,0.1297,0.10805,0.15965,0.29415,0.35665,0.35325,0.393,1,36.54583333,8.661111111,
33,0.1822,0.1218,0.12875,0.11675,0.11695,0.129,0.19045,0.217,0.206,0.2413,1,36.5062726,8.580003084,
34,0.3197,0.207,0.1623,0.1716,0.2075,0.2182,0.2774,0.3511,0.3502,0.3902,1,36.45562346,8.621343514,
35,0.1296,0.0552,0.1106,0.0945,0.0798,0.0978,0.2276,0.2503,0.2399,0.2755,1,36.45453334,8.680888797,
36,0.25045,0.1602,0.12815,0.13,0.1397,0.1718,0.2585,0.29555,0.2833,0.32975,1,36.51044777,8.808078163,
37,0.1774,0.09105,0.11555,0.1083,0.1032,0.12755,0.2864,0.3712,0.36175,0.40405,1,36.58087065,8.929778577,
38,0.2098,0.125,0.13885,0.1331,0.14555,0.16365,0.2529,0.2913,0.2648,0.31385,1,36.62497569,8.998080945,
39,0.23525,0.13155,0.13935,0.1341,0.1433,0.1712,0.2697,0.31385,0.31285,0.3569,1,36.73527778,9.215,
40,0.19665,0.11,0.13245,0.11955,0.1261,0.1413,0.2231,0.24805,0.24705,0.27885,1,36.70777778,9.295277778,
43,0.29015,0.1843,0.1334,0.13725,0.1601,0.1898,0.252,0.30085,0.3029,0.33545,1,36.62385013,9.657314878,
45,0.34425,0.23415,0.1527,0.1593,0.1969,0.21245,0.2599,0.29625,0.29015,0.32925,1,36.71283929,9.978628728,
46,0.3016,0.19965,0.1288,0.1331,0.1593,0.189,0.26005,0.29915,0.29685,0.3286,1,36.76791578,10.02538416,
49,0.3428,0.23685,0.14735,0.1556,0.19555,0.21945,0.2654,0.31085,0.30745,0.34175,1,36.6550392,9.77163645,
53,0.24085,0.14105,0.12925,0.13615,0.14365,0.17315,0.29735,0.35885,0.35085,0.3932,1,36.51972883,9.353589304,
55,0.2917,0.1632,0.1313,0.1334,0.1537,0.1915,0.2658,0.3122,0.3121,0.3675,1,36.46498691,9.277403504,
56,0.3734,0.2449,0.1522,0.1706,0.1901,0.2378,0.3543,0.4065,0.3945,0.4314,1,36.44217896,9.251039341,
57,0.20655,0.1091,0.10815,0.10675,0.0945,0.14875,0.36055,0.4364,0.42975,0.47725,1,36.42416667,9.235555556,
60,0.1896,0.0954,0.11205,0.11615,0.10375,0.14475,0.2616,0.30525,0.30425,0.3402,1,36.27687892,8.96119722,
62,0.32045,0.20295,0.14795,0.1666,0.1964,0.23605,0.3174,0.37585,0.3755,0.41785,1,36.17769487,8.810354442,
63,0.22125,0.12135,0.1189,0.1227,0.1245,0.166,0.28485,0.35685,0.3453,0.3825,1,36.12121913,8.664743576,
66,0.33125,0.2231,0.14385,0.16345,0.1921,0.21885,0.265,0.2898,0.27485,0.3028,1,35.84513227,8.554146737,
67,0.25895,0.17055,0.1266,0.1423,0.15035,0.1805,0.24975,0.28565,0.26885,0.29265,1,35.85218605,8.661117118,
68,0.241,0.1357,0.1493,0.16475,0.1632,0.1963,0.2752,0.30685,0.30615,0.3425,1,35.91506115,8.792860352,
69,0.2766,0.1821,0.1397,0.1524,0.1609,0.1936,0.2693,0.2969,0.2985,0.3107,1,35.95663567,8.876084742,
70,0.261,0.16945,0.13675,0.14965,0.16505,0.20675,0.32325,0.3597,0.34965,0.3863,1,36.02904015,8.913881387,
71,0.3262,0.2359,0.1543,0.1747,0.2183,0.25265,0.30595,0.33765,0.3229,0.3545,1,36.067592,8.943939095,
72,0.1742,0.0835,0.0995,0.1027,0.0719,0.1316,0.3487,0.4443,0.4321,0.4702,1,36.05489954,9.043092901,
73,0.2367,0.1331,0.10725,0.1147,0.1102,0.14785,0.25825,0.297,0.28645,0.3215,1,36.00595586,9.16013665,
74,0.19035,0.1012,0.10155,0.1047,0.09265,0.1301,0.24475,0.2856,0.27645,0.309,1,36.03773467,9.295468727,
75,0.21635,0.1184,0.11525,0.11975,0.1067,0.14785,0.26705,0.3252,0.3184,0.3466,1,36.08309067,9.380987449,
