idx,latitude,longitude,label,l1,l2,l3,l4,code1,class,cropland,orchard,soilcover,tree,grass,shrub,other,photo,photo1,photo2,use,desc
1,36.68998198,10.22700276,Irrigated-SC-barley-LS,cropland,irrigated,Barley/Wheat,Barley,1,1,80,9,5,1.5,1,1,2.5,1)Irrigated-SC-barley-LS,,,0,2016 Tunisia Ground Data
2,36.92168439,10.10365347,Rainfed-SC-wheat-MS,cropland,Rainfed,Barley/Wheat,Wheat,1,1,75,7,6,3,2,2,5,2)Rainfed-SC-wheat-MS,2)Rainfed-SC-wheat-MS_1,2)Rainfed-SC-wheat-MS_2,0,
3,36.94450166,10.08736787,Rainfed-SC-wheat/forage-VLS,cropland,Rainfed,Barley/Wheat,Wheat,1,1,85,,,2.5,1.5,2,9,3)Rainfed-SC-wheat/forage-VLS,3)Rainfed-SC-wheat/forage-VLS_1,3)Rainfed-SC-wheat/forage-VLS_2,0,
7,37.18645384,9.957090412,Rainfed-SC-wheat-VLS,cropland,Rainfed,Barley/Wheat,Wheat,1,1,88,3,2.5,1,0,1.5,4,7)Rainfed-SC-wheat-VLS,7)Rainfed-SC-wheat-VLS_1,,0,
8,37.13111111,9.816388889,Rainfed-SC-Wheat/grass-LS,cropland,Rainfed,Barley/Wheat,Wheat,1,1,96,,,1,0,0,3,8)Rainfed-SC-Wheat/grass-LS,,,0,
16,36.87186145,9.405163755,Rainfed-SC-wheat-LS,cropland,Rainfed,Barley/Wheat,Wheat,1,1,98,,,0,0.5,0,1.5,16)Rainfed-SC-wheat-LS,,,0,
17,36.81917943,9.363597998,Rainfed-SC-wheat-LS,cropland,Rainfed,Barley/Wheat,Wheat,1,1,98,,,0.5,0.5,0,1,17)Rainfed-SC-wheat-LS,17)Rainfed-SC-wheat-LS,,0,
18,36.82815346,9.313483154,Rainfed-SC-wheat-LS,cropland,Rainfed,Barley/Wheat,Wheat,1,1,92,,,0,2,5,1,18)Rainfed-SC-wheat-LS,18)Rainfed-SC-wheat-LS,,0,
20,36.84777778,9.250555556,Rainfed-SC-wheat-LS,cropland,Rainfed,Barley/Wheat,Wheat,1,1,98,,,0.5,0.5,0.5,0.5,20)Rainfed-SC-wheat-LS,20)Rainfed-SC-wheat-LS,,0,
22,36.71192407,9.176459746,Rainfed-SC-wheat-LS,cropland,Rainfed,Barley/Wheat,Wheat,1,1,91,3,1.5,0.5,0.5,1,2.5,22)Rainfed-SC-wheat-LS,22)Rainfed-SC-wheat-LS,,0,
