description,idx,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12,QA10,QA20,QA60,Cropland,Longitude,croptype,desc,invalid
Sentinel2 Signature Samples,2002,1980.5,1707.5,1594,1461.5,1891.5,3097.5,3547,3410,3759.5,1649.5,364.5,2173,1540.5,0,0,1024,75,10.10365347,Barley/Wheat,Rainfed-SC-wheat-MS,0
,2003,2263,2028,1921,1721,2126,3288,3749.5,3617.5,3913,1581,223,1928.5,1373.5,0,0,1024,85,10.08736787,Barley/Wheat,Rainfed-SC-wheat/forage-VLS,0
,2176,1363,1093.5,1000.5,668.5,1036,3275,4331.5,4307.5,4710,1489,133,1487,659,0,0,1024,90,10.01458711,Oats,Rainfed-SC-oats-VVLS,0
,2298,1604.5,1476.5,1375.5,1367.5,1511.5,3173,3774,3791.5,3962.5,1284.5,159.5,1892.5,1225,0,0,1024,89,10.02433333,Vegetable,Irrigated-continuous-artishow,0
,2299,1628.5,1270.5,1166,986,1336,2437,2760,2676.5,2918,1155,18,2128.5,1217,0,0,1024,96,9.995044215,Vegetable,Rainfed-SC-chickpea-LS,0
,2004,1292.5,964.5,867,509.5,944.5,3316.5,4593.5,4436,4918.5,1439,13,1496,672.5,0,0,512,88,9.957090412,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2177,1336,1005,955,597.5,1120.5,3376.5,4255.5,4196,4537,1507,31,1579,702.5,0,0,512,100,9.787591405,Oats,Rainfed-SC-oats-VVLS,0
,2005,1360.5,1172,1082.5,1014.5,1166,2211.5,2732,2533,2990.5,943.5,12.5,2058,1285.5,0,0,512,96,9.816388889,Barley/Wheat,Rainfed-SC-Wheat/grass-LS,0
,2119,2470,2010.5,1884.5,1752.5,2057.5,3558.5,4383,4162,4565,2130.5,149,1339,650,0,0,1024,90,9.684309171,Fababean,Rainfed-SC-fababean/wheat-LS,0
,2120,1355,1074,901,667,972,3552,4605,4500.5,4829,1552.5,148,1369,523,0,0,1024,93,9.619566441,Fababean,Rainfed-SC-fababean/wheat-LS,0
,2118,1389,1052,991,581.5,1077.5,3967,4997,4796.5,5201,1499.5,23.5,1478.5,561.5,0,0,512,99,9.713313324,Fababean,Rainfed-SC-fababean-LS,0
,2139,1607.5,1262,1108,913,1106,1950,2330,2394,2549.5,1190.5,153,1397,783,0,0,2048,0,9.522460054,Non-cropland,Shrublands/hills/forest,0
,2121,1391,1201,1086,871,1140,2972,3615,3374,3786,1478,246,1415,641,0,0,1024,97,9.473855612,Fababean,Rainfed-SC-fababean/wheat-LS,0
,2236,1845,1855,2297,3339,3580,3834,4079,3974,4285,2061,31,5173,4480,0,0,512,,9.165434683,Orchard,Rainfed-orchards (olive)/Barren-SC-LS,0
,2235,1620,1380.5,1522,1742.5,2227.5,2926.5,3256.5,3216,3474.5,1491.5,22,2797.5,2411.5,0,0,512,10,9.044838545,Orchard,Irrigated-Orchards (olive)/Barren-SC-MS,0
