description,idx,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12,QA10,QA20,QA60,Cropland,Longitude,croptype,desc,invalid
Sentinel2 Signature Samples,2002,2429.5,2211,2217.5,2532,2556,2721.5,2928.5,2736,3093,1096,95,2938.5,2292,,,1024,75,10.10365347,Barley/Wheat,Rainfed-SC-wheat-MS,0
,2003,2001.5,1456.5,1506.5,1681.5,1725,1945.5,2188.5,1793,2328,869.5,114,2582,2033,,,2048,85,10.08736787,Barley/Wheat,Rainfed-SC-wheat/forage-VLS,0
,2176,2906,2613,2511,2573,2638,2874.5,3300,3088,3516.5,1658,241.5,3377.5,2959,,,1536,90,10.01458711,Oats,Rainfed-SC-oats-VVLS,0
,2298,2737.5,2645.5,2277,2274.5,2526,2965.5,3291.5,2991.5,3421.5,1462,230.5,3233,2599,,,1536,89,10.02433333,Vegetable,Irrigated-continuous-artishow,0
,2299,2099.5,2234.5,2191.5,2588.5,2693,2926.5,3101,2791.5,3166.5,909.5,185,3569,2670.5,,,2048,96,9.995044215,Vegetable,Rainfed-SC-chickpea-LS,0
,2004,1515,1291.5,1233.5,1447.5,1475.5,1625.5,1821,1700,2006.5,402,55,2813.5,2113.5,,,,88,9.957090412,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2177,2367.5,2353,2415,2928.5,2864,3104.5,3416,3318,3807,717,22,4846.5,3474.5,,,1024,100,9.787591405,Oats,Rainfed-SC-oats-VVLS,0
,2005,1637,1379,1302.5,1453.5,1477.5,1619,1809.5,1699.5,2046.5,430.5,45,3004,2202,,,,96,9.816388889,Barley/Wheat,Rainfed-SC-Wheat/grass-LS,0
,2119,1540,1450,1506,1764,1802,1948,2156,1994,2331,391,15,3202,2375,,,,90,9.684309171,Fababean,Rainfed-SC-fababean/wheat-LS,0
,2120,1512.5,1344,1361,1568,1616.5,1792,2000.5,1921,2274,480.5,17,3903,2585,,,,93,9.619566441,Fababean,Rainfed-SC-fababean/wheat-LS,0
,2118,1580.5,1403,1410.5,1558.5,1538,1667.5,1791.5,1659.5,1939,313.5,11.5,2614.5,1774.5,,,,99,9.713313324,Fababean,Rainfed-SC-fababean-LS,0
,2139,1210,895,826.5,636.5,1012.5,2006.5,2409.5,2368,2720.5,577,11,1614.5,843,,,,0,9.522460054,Non-cropland,Shrublands/hills/forest,0
,2121,1520,1426,1440,1710,1762,1903,2145,2089,2426,550,11,3464,2375,,,,97,9.473855612,Fababean,Rainfed-SC-fababean/wheat-LS,0
,2236,1954,1964.5,2472,3462,3626.5,4191.5,4582.5,4284,4809,1001,29.5,5326.5,4242.5,,,,,9.165434683,Orchard,Rainfed-orchards (olive)/Barren-SC-LS,0
,2235,1727,1597,1776.5,2102.5,2348.5,2973.5,3344,3068.5,3603,803,67,3516,2570.5,,,2048,10,9.044838545,Orchard,Irrigated-Orchards (olive)/Barren-SC-MS,0
,2233,1483,1379,1541,1741,2079,3146,3650,3432,3934,732,25,2856,1964,,,,20,8.840849929,Orchard,Irrigated-Orchards (olive)/Barren-SC-LS,0
,2234,2002.5,2019.5,2423.5,3364.5,3456.5,3795,4144.5,3869.5,4341.5,950,67.5,4996,4012,,,2048,21,9.018402418,Orchard,Irrigated-Orchards (olive/amendier)/Barren-DC-SS,0
,2230,1872,1831,1982,2438,2596,3010,3353,3224,3638,877,223,3967,2962,,,2048,,8.789707617,Orchard,Irrigated-Orchards (olive)/Barren-SC-LS,0
,2232,1770,1741,2043,2759,2872,3200,3498,3272,3691,778,41,4461,3389,,,,95,8.812376724,Orchard,Irrigated-Orchards (amendier)/Barren-SC-LS,0
,2231,1811,1745,1919,2348,2614,3161,3563,3246,3793,846,161,3896,2911,,,2048,,8.792968978,Orchard,Irrigated-Orchards (olive)/Fodder-DC-MS,0
,2229,1729,1720,1865,2348,2498,2853,3159,3069,3396,780,144,3730,2888,,,2048,10,8.573270342,Orchard,Irrigated-Orchards (olive)/Barren-SC-MS,0
,2163,1790,1779,2152,2919,3067,3445,3764,3528,3979,821,24,4596,3636,,,,20,8.516345108,Non-cropland,Grassland (Stipaa tenacissima)-LS,0
,2228,1503,1405,1594,2002,2150,2806,3233,3074,3464,716,16,3489,2545,,,,10,8.54705,Orchard,Irrigated-Orchards (Olive/other tree)/Barren-DC-LS,0
,2227,1864,1842,2236,3090,3410,3727,4071,3745,4286,940,16,4963,3809,,,,65,8.629591057,Orchard,Irrigated-Orchards (Amendier)/Barren-SC-SS,0
,2226,1619,1666,1977,2444,2638,3469,3863,3680,4146,874,15,4078,3051,,,,,8.765401812,Orchard,Irrigated-Orchards(Olive/Aple)/Barren-DC-SS,0
,2225,1549.5,1473,1688,2328,2494,2776,3062,2827,3313.5,664,25,4178,3349,,,,,8.963189268,Orchard,Rainfed-Orchards (Amendier)/Barren-SC-LS,0
,2162,1489.5,1311,1331,1484.5,1632.5,2043.5,2235,2195.5,2427.5,535,21,2967,2243,,,,0,8.979535783,Non-cropland,Shrubland/Grassland-LS,0
,2136,1536.5,1336,1530.5,2073,2325,2749.5,3089.5,2770,3310.5,709.5,24,4018,3164,,,,20,9.006132437,Fodder,Irrigared-Fodder (Oat)-SC-SS,0
,2161,1558,1433,1551,1863,1971,2388,2640,2519,2820,619,31,3284,2416,,,,99,8.992458058,Non-cropland,Grassland (Stipaa tenacissima)-LS,0
,2223,1237,897,764,634.5,685.5,1009,1129.5,982,1186.5,224,8,802.5,518,,,,40,9.084410981,Orchard,Irrigated orchards (olive-aple)/Barren- DC-MS,0
,2224,1701,1448,1799.5,2258.5,2478,3217,3595.5,3313,3888.5,787,21,4161.5,3176.5,,,,10,9.098194444,Orchard,Rainfed-Orchards (olive)/Barren-SC-LS,0
,2160,1523.5,1397,1692,2071,2395.5,3196,3620,3500,3898,778,13,4225.5,3162.5,,,,,9.097265737,Non-cropland,Shrubland (Cactus)-SC-LS,0
,2222,1451,1124,1184.5,1140.5,1397.5,2516,2921,2740,3143,706,12,2412,1406,,,,45,9.105735465,Orchard,Irrgated-orchards (peach)/Barren-SC-LS,0
,2220,1497,1450.5,1716.5,1916.5,2080.5,3059,3499.5,3400,3701,800,12,3368.5,2175,,,,23,9.069394315,Orchard,Irrigated- orchards (olive peach) /Barren-DC-MS,0
,2221,1259.5,1023,1020,866.5,1303,2568.5,3153,2924,3433,771,12,2032.5,1105.5,,,,,9.07479168,Orchard,Irrigated-orchards (aple)/Barren-SC-MS,0
,2017,1676,1743,2135,2791,2799,3063,3338,3217,3562,623,17,4398,3201,,,,99,8.621343514,Barley/Wheat,Rainfed-SC-wheat/fababean-LS,0
,2018,1462,1300,1350,1703,1750,1977,2202,2105,2428,502,11,3116,2371,,,,95,8.680888797,Barley/Wheat,Rainfed-SC-wheat/fababean-LS,0
,2015,1451,1366,1408,1804,1868,2067,2288,2158,2492,463,16,3905,2963,,,,99,8.661111111,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2019,1701,1592,1770,2202,2287,2504,2750,2551,2915,625,20,4205,3339,,,,92,8.808078163,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2187,1311,1174,1224,1653,1833,2424,2770,2580,2973,576,12,3249,2491,,,,20,8.705814774,Orchard,Rainfed-olive orachards/Barren-MS,0
,2014,1342,1161,1078,1166,1261,1697,1882,1677,2137,492,12,3033,1933,,,,99,8.6875,Barley/Wheat,Rainfed-SC-wheat/fababean-LS,0
,2188,1317,1096,995,1009,1232,1788,2203,2106,2364,452,13,2299,1498,,,,25,8.605638619,Orchard,Rainfed-olive orachards /Barren-MS,0
,2016,1395,1158,1155,1369,1485,2066,2375,2142,2582,532,11,2670,1818,,,,90,8.580003084,Barley/Wheat,Rainfed-SC-wheat/oats-VLS,0
,2013,1391,1286,1321,1542,1596,1790,1977,1922,2210,492,10,3596,2527,,,,91,8.706139491,Barley/Wheat,Rainfed-SC-wheat-LS,0
,2140,1163,881,830,520,960,2214,2553,2489,2828,592,10,1243,537,,,,0,8.751111111,Non-cropland,Shrublands/hills/forest,0
,2012,1580,1475,1591,2005,2136,2381,2632,2486,2931,608,15,3726,2574,,,,83,8.916666667,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2302,1320,1118,1076,1312,1414,1577,1750,1656,2021,428,11,3368,2650,,,,86,8.954336058,Vegetable,Irrigated-SC-potato/wheat-LS,0
,2186,1344.5,1096,1063,1198,1242.5,1383,1561.5,1472,1739.5,391.5,12,2944,2135,,,,85,9.001459919,Orchard,Irrigated-orchards-grapes /Barren,0
,2021,1187,916,923,544,848,3189,4385,4213,4687,875,13,2079,939,,,,99,8.998080945,Barley/Wheat,Irrigated-SC-wheat-VLS,0
,2301,1513,1466,1509,1840,1934,2171,2335,2226,2623,617,13,3629,2373,,,,96,9.187194038,Vegetable,Rainfed-SC-sunflower-LS,0
,2010,1406,1285,1262,1475,1511,1642,1823,1749,2040,502,11,3009,1892,,,,91,9.176459746,Barley/Wheat,Rainfed-SC-wheat-LS,0
,2011,1710,1489,1635,2141,2320,2642,2886,2654,3176,726,14,4251,3131,,,,90,9.124694194,Barley/Wheat,Rainfed-SC-wheat/barley/fodder-LS,0
,2020,1532,1410,1531,1817,1868,2007,2229,2099,2387,525,15,3399,2528,,,,99,8.929778577,Barley/Wheat,Irrigated-SC-wheat-VLS,0
,2032,1652,1502,1694,2142,2130,2363,2647,2531,2764,721,18,3747,2835,,,,100,8.96119722,Barley/Wheat,Rainfed-SC-wheat/barley/fodder-LS,0
,2042,1624,1570,1788,2205,2295,2464,2705,2470,2817,681,12,3729,2501,,,,98,9.16013665,Barley/Wheat,Rainfed-SC-barley-MS,0
,2041,1735,1820,2033,2441,2425,2579,2824.5,2719,2979,641.5,16,3814.5,2976.5,,,,95,9.043092901,Barley/Wheat,Rainfed-SC-barley-LS,0
,2040,1692.5,1612,1904,2665.5,2798.5,3004.5,3285.5,3104.5,3495,855,17,4679,3699.5,,,,96,8.943939095,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2038,1970,2005,2281,2752,2757,2872,3153,3050,3320,860,12,4224,3265,,,,99,8.876084742,Barley/Wheat,Rainfed-SC-barley-LS,0
,2039,1991,1982,2426,3054,3286,3529,3855,3544,4079,1012,17,4994,3573,,,,70,8.913881387,Barley/Wheat,Rainfed-SC-barley-LS,0
,2303,1386,1194,1255,1606,1687,1887,2116,2123,2372,660,16,3471,2755,,,,99,8.880611365,Vegetable,Rainfed-SC-peas-MS,0
,2033,1708,1626,1864,2420,2521,2737,3055,2903,3306,851,19,4196,3136,,,,100,8.810354442,Barley/Wheat,Rainfed-SC-wheat/oats-VLS,1
,2142,1581,1429.5,1508,1677,1917,2404.5,2707,2567,2980,705,16,3443,2393.5,,,,10,8.627377164,Non-cropland,Forests/shrublands-VLS,0
,2178,1671,1227,1277,1675,1732,1942,2203,2140,2459,802,15,3742,2994,,,,100,8.6019564,Oats,Rainfed-SC-oats-VVLS,0
,2034,1736,1481,1609,2135,2292,2674.5,3007,2903,3311,854,21,4241,3239.5,,,,100,8.664743576,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2037,1613,1550,1640,2042,1953,2142,2401,2632,2736,773,17,4063,3257,,,,83,8.792860352,Barley/Wheat,Rainfed-SC-barley-LS,0
,2036,1627,1568,1851,2220,2307,2444,2643,2421,2710,687,14,3531,2613,,,,98,8.661117118,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2035,1456,1281,1384,1691,1766,1931,2114,1883,2224,508,19,3057,2114,,,,99,8.554146737,Barley/Wheat,Rainfed-SC-barley-LS,0
,2218,1624,1537,1744,1998,2251,2867.5,3163.5,3030,3394.5,812,10,3555,2609,,,,29,9.017646822,Orchard,Irrigated-orchards (aple) / Barren-SC-MS,0
,2084,1738,1646,1965,2578,2724,2940,3169,2978,3346,834.5,15,4392,3303,,,,90,9.039664105,Barley/Wheat,Rainfed-wheat-SC-MS,0
,2083,1582,1459,1629,2152,2285,2488,2735,2621,2961,885,16,4106,3221,,,,92,9.14994386,Barley/Wheat,Rainfed-wheat-SC-MS,0
,2219,1964.5,1993,2356,3048,3253.5,3555,3839,3578,4035.5,844,14,4734.5,3792,,,,40,9.060646032,Orchard,Rainfed- orchards (olive) /Barren -SC-MS,0
,2171,1897.5,1881.5,2195.5,2776,3063.5,3477.5,3819.5,3626,4071.5,1052.5,17.5,5025.5,3731,,,,93,9.297455692,Non-cropland,Shrubland,0
,2092,1556,1445,1732,2175,2268,2488,2728,2605,2873,758,16,4126,2951,,,,90,9.257675389,Barley/Wheat,Rainfed -Wheat -SC-SS,0
,2279,2399,2460,2902,3701,4201,4512,4853,4354,5100,1127,17,5765,4593,,,,90,9.260114212,Orchard,Rainfed - Oilve Orchards/fodder (Oat)-SC-SS,0
,2093,1532,1515,1820,2083,2232,2526,2764,2721,2960,724,14,3504,2456,,,,0,9.240837357,Barley/Wheat,Rainfed Wheat- LS,0
,2094,1812,1689,1938,2576,2720,2989,3255,3018,3486,898,18,4568,3583,,,,100,9.212302977,Barley/Wheat,Rainfed - Barley -SC-SS,0
,2172,1722,1590,1785,2327,2452,2699,2956,2828,3265,891,15,4464,3609,,,,97,9.274239134,Non-cropland,Shrubland-LS,0
,2287,2054.5,2027,2348,2957,3018.5,3438.5,3858.5,3557,4193,873.5,21,4995,3831.5,,,,100,9.540579672,Orchard,Rainfed-Olive Orchards/Barley-SC-SS,0
,2096,1953,2006.5,2199.5,2864.5,3122,3474,3795.5,3650.5,4106.5,929,23,5134,3921,,,,100,9.522801623,Barley/Wheat,Rainfed - Barley -SC-LS,0
,2095,2046.5,2050,2365,2858,3059,3518,3853,3647.5,4175,1034,65,4866,3719,,,2048,80,9.496592661,Barley/Wheat,Rainfed - Barley -SC-SS,0
,2098,1741,1459,1613,1715,1911.5,2951.5,3525,3264.5,3764.5,790,74,3022,2085.5,,,2048,5,9.639029774,Barley/Wheat,Rainfed - Barley -SC-LS,0
,2280,2053.5,2639,2407.5,2524,2784,3697.5,3998,4195.5,4096,1147.5,229,3248.5,1950,,,1024,10,9.696305438,Orchard,Irrigated orchards (peach) /Barren-SC-SS,0
,2282,1894,1985.5,2295.5,2915.5,2956.5,3441.5,3768,3622.5,4048.5,730.5,31.5,4752.5,3714.5,,,,,9.842767592,Orchard,Rainfed - orchards (Almond)/Barren -SC-LS,0
,2283,1643,1570,1599.5,1935,2001,2615.5,3081.5,2897,3320,544,16,3133.5,2226,,,,,9.890474965,Orchard,Irrigated-orchards (Olive)/Wheat - DC-SS,0
,2281,3480.5,3372,3297,3496,3698,4354,4771.5,4481.5,5069.5,2453.5,541.5,3841.5,2772,,,1024,,9.744070761,Orchard,Rainfed - orchards (olive)/Barren -SC-LS,0
,2173,2557,2712.5,3087.5,3679,3801.5,4253.5,4670,4353,5025,1223,133,5425.5,4177.5,,,1024,10,9.812811888,Non-cropland,Shrubland/Grassland,0
,2101,1606.5,1561,1701.5,1784,2027,2889,3262.5,3065.5,3528,538,16,3091.5,1979,,,,50,9.863619036,Barley/Wheat,Irrigated-Wheat/Barley-SC-SS,0
,2174,3481,3483.5,3405,3574.5,3710.5,4113.5,4364.5,4304,4558,2233,486.5,3311,2403,,,1024,0,9.741766762,Non-cropland,Forests (Pinus halepensis) - LS,0
,2286,2296.5,2154,2324,2761,2895,3234,3490.5,3285,3728.5,1196,133,4292,3228,,,2048,99,9.699753098,Orchard,Rainfed - Olive Orchards/Barley- SC-MS,0
,2175,2306.5,2369,2045,2206.5,2437,2765.5,3031,3157.5,3259.5,1411,191,3989.5,3174.5,,,1024,13,9.662738222,Non-cropland,Forest/Shrubland,0
,2097,1751,1856.5,2312.5,2856,2999.5,3671,4074.5,3809,4322,700.5,16,4743,3411.5,,,,10,9.631145282,Barley/Wheat,Rainfed - Barley - SC-MS,0
,2102,2182.5,2086.5,2069,2448,2707,3277.5,3692.5,3380.5,3964,1110,83.5,4000.5,3031,,,2048,80,9.619505724,Barley/Wheat,Rainfed-Barley-SC-LS,0
,2103,2461.5,2574,2780,3285.5,3449,3950,4296.5,4062.5,4614.5,996.5,20,5046,3820,,,,90,9.567784705,Barley/Wheat,Rainfed-Barley-SC-SS,0
,2077,3332,3255.5,3280,3640,3740.5,4042.5,4292,4156,4444.5,2312.5,420.5,4496.5,3480,,,1024,98,9.728279503,Barley/Wheat,Rainfed-wheat-SC-LS,0
,2078,1751,1556.5,1648.5,1880,2064,2318.5,2528.5,2246.5,2616,761.5,61.5,3198.5,2113.5,,,2048,94,9.663514577,Barley/Wheat,Rainfed-wheat (tendre)-SC-MS,0
,2179,2398.5,2522,2563.5,3011,3132.5,3539.5,3836,3679.5,4057,1636.5,226,4757,3915,,,1024,82,9.591232168,Oats,Rainfed-SC-oats/barley-LS,0
,2079,1610.5,1581,1657,1873.5,1899.5,2110.5,2380,2244.5,2560,599.5,74,3203,2262.5,,,2048,100,9.628045294,Barley/Wheat,Rainfed-barley-SC-LS,0
,2046,1702.5,1708.5,1919.5,2420,2572.5,2847.5,3155.5,3025.5,3389,771,15,4053,3013,,,,85,9.575805556,Barley/Wheat,Rainfed-SC-barley-LS,0
,2144,1424,1022.5,1003,802.5,1263,2051,2345.5,2095.5,2601,715,17.5,1690,1005.5,,,,0,9.583286095,Non-cropland,Forests/shrublands-VLS,0
,2081,1609.5,1500,1677,2132,2236,2362.5,2626,2489,2823.5,663.5,12,3834,2971,,,,100,9.381955101,Barley/Wheat,Rainfed-wheat-SC-LS,0
,2044,1612,1532,1643,1920,1959,2111.5,2280,2097,2430.5,557.5,14,2987,2262.5,,,,100,9.380987449,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2195,1886,1811.5,2077.5,2503.5,2687,3266.5,3665.5,3532.5,3926,867,14,4489,2968,,,,15,9.414722222,Orchard,Rainfed-olive orachards /Barren-VLS,0
,2143,1720,1610,1903.5,2251,2303,2574,2693,2777.5,2922,917,83,3587.5,2394.5,,,2048,26,9.471769392,Non-cropland,Waste lands/rangelands,0
,2080,1674.5,1606.5,1824.5,2270,2467,2647,2877,2617,3006,743,24,3972.5,2711.5,,,,100,9.544381705,Barley/Wheat,Rainfed-barley-SC-LS,0
,2045,1595.5,1437.5,1441,1609,1723,2079,2262,2152.5,2461,615.5,18,3072,2116.5,,,,96,9.518071415,Barley/Wheat,Rainfed-SC-wheat-VLS,0
,2104,1407,1268,1283,1468.5,1666,2169,2426.5,2311.5,2790,699.5,13,3197.5,2352,,,,57,9.482342101,Barley/Wheat,Irrigated-Barley - DC-MS,0
,2105,1979.5,1943,2230,2998,3267.5,3786.5,4175,3896.5,4460.5,967.5,19,4758,3606.5,,,,,9.445952394,Barley/Wheat,Rainfed - Wheat/Barley -SC-LS,0
,2106,1811,1740.5,1954,2502,2598.5,2910.5,3180.5,3006,3412.5,762,17.5,4361,3147,,,,100,9.431767728,Barley/Wheat,Irrigated-Wheat-SC-MS,0
,2288,2142.5,2190,2541,3099.5,3094,3383.5,3692.5,3479.5,3928,831,18,4764.5,3578,,,,100,9.41773099,Orchard,Rainfed-Olive Orchards/Wheat-SC-LS,0
,2137,1823,1663,1693.5,2068.5,2265,2558,2811.5,2632.5,3051,661.5,14,3760,2731.5,,,,100,9.409316793,Fodder,Irrigated -fodder (Oat)-SC-MS,0
,2127,1676.5,1635,1901,2342,2427.5,2610,2831,2667,3047.5,744,17,4164,3010.5,,,,96,9.332744383,Fababean,Rainfed-Fava bean -SC-LS,0
,2043,1465,1343,1553,1893,1965,2184,2397,2319,2568,648,13,3497,2340,,,,90,9.295468727,Barley/Wheat,Rainfed-SC-wheat-MS,0
,2159,1750,1640,1755,2033,2354,2739,3067,2668,3365,785,15,3481,2572,,,,0,9.25504813,Non-cropland,Forest (Cupressus sempervirens),0
,2135,1572,1412,1435,1706,1797,2196,2428,2165,2542,728,15,3265,2324,,,,100,9.232409414,Fodder,Rainfed -Fodder (Oat)-SC-MS,0
