idx,SV01,SV02,SV03,SV04,SV05,SV06,SV07,SV08,SV09,SV10,SV11,SV12,SV13,SV14,SV15,SV16,SV17,SV18,SV19,SV20,SV21,SV22,SV23,Cropland,Longitude,Orchards,SoilCover,grasses,id,l1,l2,label,other,pcrop,scrop,shrubs,trees,water
3,0.328601884,0.399080608,0.503905396,0.602151982,0.633789476,0.638814807,0.639490853,0.52227453,0.333540811,0.204368553,0.162284155,0.162284155,0.162284155,0.163642513,0.182823466,0.191175423,0.194278648,0.19781384,0.19781384,0.19781384,0.194381409,0.17766269,0.167225569,75,10.10365347,7,6,2,2,cropland,Rainfed,Rainfed-SC-wheat-MS,5,Wheat,,2,3,0
4,0.277812314,0.303359206,0.384490897,0.513577934,0.624552669,0.627895981,0.627895981,0.506734857,0.322282503,0.208606851,0.169429297,0.16530383,0.16530383,0.16530383,0.187635617,0.201742074,0.232674388,0.234061203,0.243499183,0.30085256,0.374167586,0.486927263,0.570920691,85,10.08736787,,,1.5,3,cropland,Rainfed,Rainfed-SC-wheat/forage-VLS,9,Wheat,,2,2.5,0
6,0.718493228,0.723684088,0.723684088,0.723684088,0.70695892,0.693383233,0.636692366,0.511991976,0.407473306,0.359395945,0.335323887,0.29803151,0.25311328,0.23565273,0.225998961,0.203499581,0.199375195,0.199375195,0.199375195,0.195479243,0.244113912,0.336531969,0.390251969,90,10.01458711,,,0.5,5,cropland,Rainfed,Rainfed-SC-oats-VVLS,9,Oats,,0,0.5,0
5,0.364149026,0.508663469,0.656672747,0.695213675,0.695213675,0.687313886,0.609595884,0.512321023,0.403035708,0.333972757,0.311091876,0.283204547,0.238208765,0.215786677,0.210349382,0.210349382,0.216803789,0.219706313,0.250132707,0.421752874,0.655410498,0.787383254,0.792661958,89,10.02433333,4,2,0.5,4,cropland,irrigated,Irrigated-continuous-artishow,2,Artishow,,2,0.5,0
7,0.257674647,0.300494248,0.373047222,0.440982554,0.524330172,0.589035933,0.589035933,0.588117123,0.409134565,0.256181638,0.207242711,0.215402818,0.2313756,0.228310206,0.222858075,0.189875839,0.181149662,0.17922077,0.208391274,0.208081216,0.198775499,0.072381173,-0.023904463,96,9.995044215,,,0,6,cropland,Rainfed,Rainfed-SC-chickpea-LS,4,Chickpea,,0,0,0
8,0.695627528,0.674713149,0.674713149,0.674713149,0.67049586,0.669542521,0.669542521,0.489899813,0.387814064,0.346361973,0.266231872,0.176527648,0.15068199,0.149038674,0.152739519,0.203785553,0.296062587,0.28225132,0.269146394,0.227615635,0.163893637,0.262798643,0.375104793,88,9.957090412,3,2.5,0,7,cropland,Rainfed,Rainfed-SC-wheat-VLS,4,Wheat,,1.5,1,0
10,0.314199165,0.361831878,0.441536996,0.496134826,0.524792776,0.524792776,0.524792776,0.456806842,0.37980756,0.334515783,0.295683309,0.25541861,0.240423766,0.237075973,0.230102668,0.224859255,0.219144355,0.222201119,0.222201119,0.245792415,0.278514617,0.35372101,0.415520461,100,9.787591405,,,0,9,cropland,Rainfed,Rainfed-SC-oats-VVLS,0,Oats,,0,0,0
9,0.516814607,0.543717788,0.611812563,0.724860609,0.724860609,0.723917454,0.677711364,0.485780288,0.340059519,0.269479702,0.233046122,0.208095339,0.195030958,0.188422309,0.187124562,0.187124562,0.230281941,0.232082467,0.20068057,0.20068057,0.16517164,0.182142715,0.254871905,96,9.816388889,,,0,8,cropland,Rainfed,Rainfed-SC-Wheat/grass-LS,3,Wheat,,0,1,0
12,0.373944362,0.567431036,0.753468641,0.82857278,0.82857278,0.827553447,0.73148041,0.539256729,0.365480969,0.283362097,0.252204239,0.224803268,0.205995549,0.192431574,0.177045888,0.165674653,0.178733213,0.177079666,0.177079666,0.172713175,0.164571231,0.266184152,0.364809986,90,9.684309171,,,1,11,cropland,Rainfed,Rainfed-SC-fababean/wheat-LS,1.5,Fababean,,3.5,1,3
13,0.399084041,0.442147157,0.583637983,0.718326718,0.718326718,0.718326718,0.618993023,0.496668473,0.391011854,0.323287797,0.273831291,0.22370244,0.197565288,0.195342701,0.20275799,0.210298038,0.234566137,0.256119297,0.256119297,0.237741923,0.206992724,0.176124905,0.155263826,93,9.619566441,1,0.5,0.5,12,cropland,Rainfed,Rainfed-SC-fababean/wheat-LS,1,Fababean,,3.5,0.5,0
