idx,label,scale,Longitude,Latitude,idx2,date,cropland,trees,grasses,shrubs,water,other,desc
0,Shrublands/forests,,36.80315345780,-1.21988353800,1,8-Jun-14,0,0,0,100,,0,Ground_data_ESA_Jun2014
2,Rainfed-Maize/mixedcrops-MS,Hills,36.71671018010,-1.17730851099,2,8-Jun-14,80,10,,,,10,
3,Tea plantations,VLS,36.68416397670,-1.15991792403,3,8-Jun-14,100,0,0,0,,,
4,T plantations,,36.66388271260,-1.14117529344,4,8-Jun-14,100,0,0,0,,0,
4,Trees/shrubl;lands,,36.60315373060,-0.90576431277,5,8-Jun-14,100,0,0,0,,0,
6,Rangelands,,36.58211939950,-0.88807339040,6,8-Jun-14,100,0,0,0,,0,
7,Rainfed-Mixedcrops-VLS,,36.57809874200,-0.88364984017,7,8-Jun-14,98,0,0,0,,2,
8,Rainfed-SC-maize-SS,,36.55851363700,-0.87381077624,8,8-Jun-14,95,2,0,0,,3,
9,Rainfed-SC-tobaco/maize/vegetables-LS,,36.54816567810,-0.85574070775,9,8-Jun-14,100,0,0,0,,0,
10,Rainfed-SC-maize/misedcrops-LS,,36.53987188360,-0.81774635389,10,8-Jun-14,90,0,0,0,,10,
14,Waste lands,,36.48582806570,-0.76249584516,11,8-Jun-14,0,0,0,97,,3,
22,Rangelands/waste lands,,36.47282170200,-0.75471741677,12,8-Jun-14,0,0,0,100,,0,
18,Wastelands/short shrubs,,36.45685302190,-0.73940323350,13,8-Jun-14,0,0,0,100,,0,
19,Shrublands/hills/MS,,36.45196433700,-0.72324481667,14,8-Jun-14,0,0,0,100,,,
21,Rangelands/shrublands,,36.42544457520,-0.69688988076,15,8-Jun-14,1,0,0,95,,4,
22,Irrigated-Grass-livestock feed-VLS,,36.40566004760,-0.68257311454,16,8-Jun-14,100,,,,,,
23,Irrigated-DC-mixedcrops-mixedcrops-LS,,36.38900574120,-0.65952735585,17,8-Jun-14,100,0,0,0,,,
24,wastelands/Shrublands,,36.38752942470,-0.62269515809,18,8-Jun-14,0,0,0,100,,0,
25,Shrublands,,36.37853675570,-0.60107381961,19,8-Jun-14,0,0,0,100,,,
26,Rangelands/Grassses/shortshrubs,,36.37309518940,-0.59129642915,20,8-Jun-14,0,0,0,100,,,
